compound_id	smiles	library	compound_code	compound_name	coadd_project_id	coadd_cc50_ma_007_ug_ml	coadd_mic_gn_034_ug_ml	coadd_mic_gn_042_ug_ml	coadd_mic_gp_020_ug_ml	coadd_mic_gn_001_ug_ml	coadd_mic_gn_003_ug_ml	coadd_mic_fg_001_ug_ml	coadd_mic_fg_002_ug_ml	coadd_hc10_ha_150_ug_ml	coadd_mic_gn_034_um	coadd_mic_gn_042_um	coadd_mic_gn_003_um	coadd_mic_fg_002_um	coadd_mic_gn_001_um	coadd_mic_fg_001_um	coadd_mic_gp_020_um	coadd_cc50_ma_007_um	coadd_hc10_ha_150_um	coadd_mic_gn_211_um	coadd_mic_gn_211_ug_ml	coadd_mic_gp_019_ug_ml	coadd_mic_gp_023_ug_ml	coadd_mic_gp_064_ug_ml	coadd_mic_fg_005_ug_ml	coadd_mic_fg_006_ug_ml	coadd_mic_fg_011_ug_ml	coadd_mic_fg_007_ug_ml	coadd_mic_gp_030_ug_ml	coadd_mic_gp_020_s50_ug_ml	coadd_mic_gp_025_ug_ml	coadd_mic_gn_049_ug_ml	coadd_mic_fg_001_s50_ug_ml	coadd_mic_fg_002_s20_ug_ml	coadd_mic_gn_032_ug_ml	coadd_mic_gn_046_ug_ml	coadd_mic_gn_034_s50_ug_ml	coadd_mic_gn_004_ug_ml	coadd_mic_gn_043_ug_ml	coadd_mic_gn_045_ug_ml	coadd_mic_gn_093_ug_ml	coadd_mic_gn_111_ug_ml	coadd_mic_gn_034_s20_ug_ml	coadd_mic_fg_018_ug_ml	coadd_mic_gp_011_ug_ml	coadd_mic_gp_035_ug_ml	coadd_mic_gn_001_s50_ug_ml
CO-ADD:0148704	c1(C(c(cc2)ccc2OC)=O)c(N)c(cc3c(CCCC3)n4)c4s1	Russian Academy of Science (Russia)	A4463/0190806		CO-ADD:PC0145	32	32	32	32	32	32	32	32																																						
CO-ADD:0135133	N1(CC2CCCCC2)CCN(C(Sc(c3C4=O)c([N+]([O-])=O)cc(C(F)(F)F)c3)=N4)CC1.OC(C(F)(F)F)=O	University of Queensland (Australia)	MCC_007106:004		CO-ADD:PC0057																																														
CO-ADD:0135135	O=C1NC(C)=Cn(c12)cc([N+](=O)[O-])n2	University of Queensland (Australia)	MCC_008394:001		CO-ADD:PC0057																																														
CO-ADD:0135137	O=C1NC(c2ccc(OC(F)(F)F)cc2)=Cn(c13)cc([N+](=O)[O-])n3	University of Queensland (Australia)	MCC_008396:001		CO-ADD:PC0057																																														
CO-ADD:0135140	O=C1N(Cc2ccc(OC(F)(F)F)cc2)C(C)=C(C)n(c13)cc([N+](=O)[O-])n3	University of Queensland (Australia)	MCC_008399:001		CO-ADD:PC0057																																														
CO-ADD:0135142	O=C1N(CCOC(=O)C)C(C)=Cn(c12)cc([N+](=O)[O-])n2	University of Queensland (Australia)	MCC_008401:001		CO-ADD:PC0057																																														
CO-ADD:0135143	Cc1nc(OCCOC(=O)C)c2n(cc([N+](=O)[O-])n2)c1	University of Queensland (Australia)	MCC_008402:001		CO-ADD:PC0057																																														
CO-ADD:0135146	Cc1nc(OCCO)c2n(cc([N+](=O)[O-])n2)c1	University of Queensland (Australia)	MCC_008407:001		CO-ADD:PC0057																																														
CO-ADD:0135147	Cc1nc(OC)c2n(cc([N+](=O)[O-])n2)c1	University of Queensland (Australia)	MCC_008408:001		CO-ADD:PC0057																																														
CO-ADD:0135149	O=C(c1n(Cc2ccc(OC(F)(F)F)cc2)cc([N+](=O)[O-])n1)NC	University of Queensland (Australia)	MCC_008410:001		CO-ADD:PC0057																																														
CO-ADD:0135150	c1([N+]([O-])=O)nc(C(OCC)=O)n(Cc2ccc(OC(F)(F)F)cc2)c1	University of Queensland (Australia)	MCC_008411:001		CO-ADD:PC0057																																														
CO-ADD:0135152	c1([N+]([O-])=O)nc(C(=O)NO)n(Cc2ccc(OC(F)(F)F)cc2)c1	University of Queensland (Australia)	MCC_008413:001		CO-ADD:PC0057																																														
CO-ADD:0135153	c1([N+]([O-])=O)nc(C(OCC)=O)[nH]c1	University of Queensland (Australia)	MCC_008414:001		CO-ADD:PC0057																																														
CO-ADD:0149718	NC1=NNC2=C1C(C3=CC=CC=C3)=C4C(NN=C4N)=N2	IQOG CSIS (Spain)	MC60A		CO-ADD:PC0146	8.23	32	32	32	32	32	32	32																																						
CO-ADD:0149721	NC(N=C(N(CC#C)C)C(C#N)=C1C2=CC=CC=C2)=C1C#N	IQOG CSIS (Spain)	MC591F1		CO-ADD:PC0146	32	32	32	32	32	32	32	32																																						
CO-ADD:0149751	C#CCN(C1=NC(NCCCCC2CCN(CC3=CC=CC=C3)CC2)=C(C(C4=CC=CC=C4)=C1C#N)C#N)C.Cl	IQOG CSIS (Spain)	ASS280Cl		CO-ADD:PC0146	4.12	32	32	32	32	32	32	16																																						
CO-ADD:0149756	NC(OC1=C2C(C=CC=C3)=C3C=C1)=C(C2C4=CC=C(C=C4)[N+]([O-])=O)C#N	IQOG CSIS (Spain)	WM36		CO-ADD:PC0146	1.88	32	32	32	32	32	32	32																																						
CO-ADD:0149769	NC(OC1=C2C=CC3=C1C=CC=C3)=C(C2C4=C(C=CC=C4)[N+]([O-])=O)C#N	IQOG CSIS (Spain)	WM19		CO-ADD:PC0146	32	32	32	32	32	32	32	32																																						
CO-ADD:0148923	c(N)(nn1)nnc1N	Russian Academy of Science (Russia)	A2533/0107759		CO-ADD:PC0145	32	32	32	32	32	32	32	32																																						
CO-ADD:0149582	ClC(C(C#N)=C1)=NC(OC)=C1C#N	IQOG CSIS (Spain)	ASS348		CO-ADD:PC0146	0.56	32	32	32	32	32	16	32																																						
CO-ADD:0148791	c1(N)c2c(non2)c3c(non3)c1	Russian Academy of Science (Russia)	A4559/0195022		CO-ADD:PC0145	32	32	32	16	32	32	32	32													32	4	4	32	32	32	32	4	32			32	32													
CO-ADD:0148799	c(non1)(c1n2)ncc2c(cc3OC)c(OC)c4c3OCO4	Russian Academy of Science (Russia)	A4570/0195531		CO-ADD:PC0145	32	32	32	16	32	32	32	32													32	32	16	32	32	32	32	32	32			32	32													
CO-ADD:0149592	C#CCNC1=NC=C(Cl)C=C1	IQOG CSIS (Spain)	MC449F1		CO-ADD:PC0146	32	32	32	32	32	32	32	32																																						
CO-ADD:0149596	C#CCN(CC1=CC2=CC(OCCCC3CCNCC3)=CC=C2N1C)C.C#CCN(CC1=CC2=CC(OCCCC3CCNCC3)=CC=C2N1C)C.Cl.Cl.Cl.Cl.O	IQOG CSIS (Spain)	MBA203Cl		CO-ADD:PC0146	17.2	32	32	32	32	32	32	32																																						
CO-ADD:0149604	CN(C(CN(CC1=CN(C2=CC=CC=C2)N=N1)C)=C3)C(C3=C4)=CC=C4OCCCC5CCN(CC6=CC=CC=C6)CC5.Cl	IQOG CSIS (Spain)	MBA247Cl		CO-ADD:PC0146	3.55	32	32	32	32	32	32	32																																						
CO-ADD:0149617	BrC1=C2C(NC(CC2C)=O)=C3C(N=C(CCCC4)C4=C3N)=N1	IQOG CSIS (Spain)	MPG9		CO-ADD:PC0146	4.01	32	32	32	32	32	32	32																																						
CO-ADD:0149623	NC1=C2C(CCCC2)=NC3=C1C4=CC(OC)=CC=C4N3	IQOG CSIS (Spain)	OB21		CO-ADD:PC0146	15	32	32	32	32	32	32	32																																						
CO-ADD:0134098	O=C(c1[nH]c([N+](=O)[O-])cn1)NCc2cccc(OC(F)(F)F)c2	University of Queensland (Australia)	MCC_008315:001		CO-ADD:PC0045				16																																										
CO-ADD:0134100	O=C(c1[nH]c([N+](=O)[O-])cn1)N(C)Cc2ccc(OC(F)F)cc2	University of Queensland (Australia)	MCC_008317:001		CO-ADD:PC0045				16																																										
CO-ADD:0140019	O=[N+](C1=CC=CC=C1C2=CC=CC=C2NC3=CC=CC=C3)[O-]	University of Manchester (UK)	0170677606		CO-ADD:PC0102	2.15	32	32	16	32	32	8	16																																						
CO-ADD:0140028	O=[N+](C1=CC=C(C2=CC=CC=C2NC3=C(C)C=C(C)C=C3C)C([N+]([O-])=O)=C1)[O-]	University of Manchester (UK)	0170678726		CO-ADD:PC0102	15.7	32	32	32	32	32	4	32																																						
CO-ADD:0140029	CC1=CC=CC=C1NC2=CC=CC=C2C3=CC=CC=C3[N+]([O-])=O	University of Manchester (UK)	0170678931		CO-ADD:PC0102	1.95	32	32	4	32	32	8	32																																						
CO-ADD:0140031	O=[N+](C1=CC=CC=C1C2=CC=CC=C2NC3=C(C)C=C(C)C=C3C)[O-]	University of Manchester (UK)	0170679853		CO-ADD:PC0102	13.1	32	32	32	32	32	16	32																																						
CO-ADD:0140034	O=[N+](C1=CC=CC=C1C2=CC=CC=C2N(CC3=CC=CC=C3)C4=CC=CC=C4)[O-]	University of Manchester (UK)	0170679174		CO-ADD:PC0102	8.14	32	32	32	32	32	32	32																																						
CO-ADD:0148743	c1(C(C)(C)C)cc(SCC2SC(N)=NC2)cc(C(C)(C)C)c1O.Cl	Russian Academy of Science (Russia)	A4490/0192002		CO-ADD:PC0145	32	32	32	16	32	32	32	16																																						
CO-ADD:0148752	c(OC1)(c(OC)c(CC#N)c2)c(O1)c2OC	Russian Academy of Science (Russia)	A4498/0192281		CO-ADD:PC0145	32	32	32	32	32	32	32	32																																						
CO-ADD:0149860	N=C(C(C1C2=C(C=CC=C2)[N+]([O-])=O)(Br)C#N)OC3=C1C(C=CC=C4)=C4C=C3	IQOG CSIS (Spain)	ASS382F2		CO-ADD:PC0146	5.83	32	32	32	32	32	32	32																																						
CO-ADD:0149873	C#CCN(CC1=CC2=CC(OCC3=CC=CC=C3)=CC=C2N1[H])C.O=C(O)C(O)=O	IQOG CSIS (Spain)	FA87		CO-ADD:PC0146	32	32	32	32	32	32	32	32																																						
CO-ADD:0149880	O=C1C(C(O)C)C2N1C(C(NC3=CC=C(C(O4)=NNC4=S)C=C3)=O)=C(SC5CC(C(N(C)C)=O)NC5)C2C.Cl	University of Mosul (Iraq)	N14		CO-ADD:PC0147	32	32	32	32	32	32	32	32																																						
CO-ADD:0149881	FC1=CC2=C(C=C1N3CCNCC3)N(C4CC4)C([H])=C(C(NC5=CC=C(C6=NNC(O6)=S)C=C5)=O)C2=O.Cl	University of Mosul (Iraq)	N41		CO-ADD:PC0147	17.8	32	32	32	4	32	32	32																																						
CO-ADD:0148641	[se]1c2c(NC(=O)CC2c3cc(OC)c(OCO4)c4c3OC)nc1N	Russian Academy of Science (Russia)	A4435/0189414		CO-ADD:PC0145	32	32	32	32	32	32	8	32																																						
CO-ADD:0148642	[se]1c2c(NC(=O)CC2c3c(OC)c(OC)c(OCO4)c4c3)nc1N	Russian Academy of Science (Russia)	A4435/0189415		CO-ADD:PC0145	12.7	32	32	32	32	32	16	16																																						
CO-ADD:0149638	C#CCN(CC1=CC2=CC(OCCCC3CCN(CC4=CC=CC=C4)CC3)=CC=C2N1)C.OC(=O)C(=O)O	IQOG CSIS (Spain)	MBA314		CO-ADD:PC0146	13.4	32	32	32	32	32	32	32																																						
CO-ADD:0149648	CC1=C(C(C2=CC=CC=C2OC)C3=C(N=C(CCCC4)C4=C3N)N1)C(OCC)=O	IQOG CSIS (Spain)	MC248F3		CO-ADD:PC0146	3.76	32	32	32	32	32	32	32																																						
CO-ADD:0149655	ClC(N=C(NCC#C)C(C#N)=C1)=C1C#N	IQOG CSIS (Spain)	MBA-108F1		CO-ADD:PC0146	22.4	32	32	32	32	32	32	32																																						
CO-ADD:0149659	C#CCNC(C(C#N)=C1C2=CC=CC=C2)=NC(NCCCC3CCN(CC4=CC=CC=C4)CC3)=C1C#N	IQOG CSIS (Spain)	MV-80		CO-ADD:PC0146	16	32	32	32	32	32	32	32																																						
CO-ADD:0149661	C#CCNC(C(C#N)=C1C2=CC=CC=C2)=NC(NCCCCC3CCN(CC4=CC=CC=C4)CC3)=C1C#N	IQOG CSIS (Spain)	MBA117		CO-ADD:PC0146	3.46	32	32	32	32	32	32	32																																						
CO-ADD:0149662	C#CCNC(C(C#N)=C1C2=CC=CC=C2)=NC(NCCC3CCN(CC4=CC=CC=C4)CC3)=C1C#N	IQOG CSIS (Spain)	MBA120		CO-ADD:PC0146	11.3	32	32	32	32	32	32	32																																						
CO-ADD:0149681	C#CCN(CC1=CC2=CC(OCCCCC3CCN(CC4=CC=CC=C4)CC3)=CC=C2N1C)C.Cl	IQOG CSIS (Spain)	ASS251Cl:2		CO-ADD:PC0146	32	32	32	32	32	32	32	32																																						
CO-ADD:0149682	C=C=CCN(CC1=CC2=CC(OCC3=CC=CC=C3)=CC=C2N1C)C.O=C(O)C(O)=O	IQOG CSIS (Spain)	FA67		CO-ADD:PC0146	1.61	32	32	32	32	32	32	32																																						
CO-ADD:0148882	C1(C#N)=C(N)Oc2c(ccc(c2)O)C1c3ccccc3F	Russian Academy of Science (Russia)	A1884/0079242		CO-ADD:PC0145	32	32	32	32	32	32	32	32																																						
