compound_id	smiles	molecule_name	document_chembl_id	target_summary	source_molecule_ids	chembl_chembl5360622_chembl5363957_ic50_chembl4203	chembl_chembl5360622_chembl5363954_ic50_chembl4224	chembl_chembl5360622_chembl5363958_ic50_chembl2292	chembl_chembl5360622_chembl5363955_ic50_chembl4225	chembl_chembl5360622_chembl5363959_ic50_chembl5543	chembl_chembl5360622_chembl5363961_ic50_chembl4575	chembl_chembl5360622_chembl5363960_ic50_chembl4376	chembl_chembl5360622_chembl5363956_ic50_chembl4226	chembl_chembl5360622_chembl5363962_ic50_chembl1075115	chembl_chembl5360622_chembl5363963_ic50_chembl262	chembl_chembl5360622_chembl5363953_ic50_chembl1907600	chembl_chembl5360622_chembl5363952_ic50_chembl4937
CHEMBL5401116	COC(=O)[C@@H](NC1=N/C(=C\\c2ccc3ncsc3c2)C(=O)N1)C(C)O		CHEMBL5360622	Dual specificity protein kinase CLK1, Dual specificity protein kinase CLK2, Dual specificity protein kinase CLK3, Dual specificity protein kinase CLK4, Dual specificity tyrosine-phosphorylation-regulated kinase 1A, Dual specificity tyrosine-phosphorylation-regulated kinase 1B, Dual specificity tyrosine-phosphorylation-regulated kinase 2, Dual specificity tyrosine-phosphorylation-regulated kinase 3, Dual specificity tyrosine-phosphorylation-regulated kinase 4, Glycogen synthase kinase-3 beta	CHEMBL5401116	8.52	8.22	8.52	7.7	7.39	6.52	6.29	6.04	6.16	5.22		
CHEMBL5401201	O=C1NC(NC2CCCNC2=O)=N/C1=C\\c1ccc2ncsc2c1		CHEMBL5360622	Dual specificity protein kinase CLK1, Dual specificity protein kinase CLK2, Dual specificity protein kinase CLK3, Dual specificity protein kinase CLK4, Dual specificity tyrosine-phosphorylation-regulated kinase 1A, Dual specificity tyrosine-phosphorylation-regulated kinase 1B, Dual specificity tyrosine-phosphorylation-regulated kinase 2, Dual specificity tyrosine-phosphorylation-regulated kinase 3, Dual specificity tyrosine-phosphorylation-regulated kinase 4	CHEMBL5401201	7.46	6.9	6.31	5.88	5.44	5.55	5.68	5.77	5.14			
CHEMBL5401217	COC[C@@H](NC1=N/C(=C\\c2ccc3ncsc3c2)C(=O)N1)c1ccccc1		CHEMBL5360622	Dual specificity protein kinase CLK1, Dual specificity protein kinase CLK2, Dual specificity protein kinase CLK3, Dual specificity protein kinase CLK4, Dual specificity tyrosine-phosphorylation-regulated kinase 1A, Dual specificity tyrosine-phosphorylation-regulated kinase 1B, Dual specificity tyrosine-phosphorylation-regulated kinase 2, Dual specificity tyrosine-phosphorylation-regulated kinase 3, Dual specificity tyrosine-phosphorylation-regulated kinase 4, Glycogen synthase kinase-3 beta	CHEMBL5401217	7.55	7.19	6.87	6.21	6.53	6.4	6.58	6.35	5.42	5.25		
CHEMBL5401658	Cn1ncc2cc(/C=C3\\N=C(NC4CCCCC4)NC3=O)ccc21		CHEMBL5360622	Dual specificity protein kinase CLK1, Dual specificity protein kinase CLK2, Dual specificity protein kinase CLK3, Dual specificity protein kinase CLK4, Dual specificity tyrosine-phosphorylation-regulated kinase 1A, Dual specificity tyrosine-phosphorylation-regulated kinase 1B, Dual specificity tyrosine-phosphorylation-regulated kinase 2, Dual specificity tyrosine-phosphorylation-regulated kinase 3	CHEMBL5401658	6.19	5.6	6.85	5.11	6.45	5.49	5.59	5.77				
CHEMBL5401675	O=C1NC(N[C@@H]2CCCC[C@H](O)C2)=N/C1=C\\c1ccc2ncsc2c1		CHEMBL5360622	Dual specificity protein kinase CLK1, Dual specificity protein kinase CLK2, Dual specificity protein kinase CLK3, Dual specificity protein kinase CLK4, Dual specificity tyrosine-phosphorylation-regulated kinase 1A, Dual specificity tyrosine-phosphorylation-regulated kinase 1B, Dual specificity tyrosine-phosphorylation-regulated kinase 2, Dual specificity tyrosine-phosphorylation-regulated kinase 3, Dual specificity tyrosine-phosphorylation-regulated kinase 4, Glycogen synthase kinase-3 beta	CHEMBL5401675	8.4	7.85	8.52	7.5	7.68	6.12	6.76	6.19	6.16	5.22		
CHEMBL5401764	O=C1NC(NC2CCCCCC2)=N/C1=C\\c1ccc2nnsc2c1		CHEMBL5360622	Dual specificity protein kinase CLK1, Dual specificity protein kinase CLK2, Dual specificity protein kinase CLK4, Dual specificity tyrosine-phosphorylation-regulated kinase 1A, Dual specificity tyrosine-phosphorylation-regulated kinase 1B, Dual specificity tyrosine-phosphorylation-regulated kinase 3	CHEMBL5401764	6.76	6.57	6.11	5.55	5.95	5.04						
CHEMBL5402979	O=C1NC(N[C@@H](CO)CC2CCC2)=N/C1=C\\c1ccc2ncsc2c1		CHEMBL5360622	Dual specificity protein kinase CLK1, Dual specificity protein kinase CLK2, Dual specificity protein kinase CLK3, Dual specificity protein kinase CLK4, Dual specificity tyrosine-phosphorylation-regulated kinase 1A, Dual specificity tyrosine-phosphorylation-regulated kinase 1B, Dual specificity tyrosine-phosphorylation-regulated kinase 2, Dual specificity tyrosine-phosphorylation-regulated kinase 3, Dual specificity tyrosine-phosphorylation-regulated kinase 4, Glycogen synthase kinase-3 beta	CHEMBL5402979	8.05	7.57	7.66	7.55	7.42	5.9	5.72	6.14	5.78	5.62		
CHEMBL5403037	O=C1NC(N[C@@H]2CCC[C@H](O)CC2)=N/C1=C\\c1ccc2ncsc2c1		CHEMBL5360622	Dual specificity protein kinase CLK1, Dual specificity protein kinase CLK2, Dual specificity protein kinase CLK3, Dual specificity protein kinase CLK4, Dual specificity tyrosine-phosphorylation-regulated kinase 1A, Dual specificity tyrosine-phosphorylation-regulated kinase 1B, Dual specificity tyrosine-phosphorylation-regulated kinase 2, Dual specificity tyrosine-phosphorylation-regulated kinase 3, Dual specificity tyrosine-phosphorylation-regulated kinase 4, Glycogen synthase kinase-3 beta	CHEMBL5403037	8.15	7.75	7.77	6.87	6.88	6.26	6.4	5.97	6.05	5.03		
CHEMBL5403642	COC[C@H](CC(C)C)NC1=N/C(=C\\c2ccc3ncsc3c2)C(=O)N1		CHEMBL5360622	Dual specificity protein kinase CLK1, Dual specificity protein kinase CLK2, Dual specificity protein kinase CLK3, Dual specificity protein kinase CLK4, Dual specificity tyrosine-phosphorylation-regulated kinase 1A, Dual specificity tyrosine-phosphorylation-regulated kinase 1B, Dual specificity tyrosine-phosphorylation-regulated kinase 2, Dual specificity tyrosine-phosphorylation-regulated kinase 3, Dual specificity tyrosine-phosphorylation-regulated kinase 4, Glycogen synthase kinase-3 beta	CHEMBL5403642	7.57	7.26	6.72	6.21	6.18	5.72	5.61	5.7	5.53	5.33		
CHEMBL5404416	O=C1NC(NC23CC4CC(CC(C4)C2)C3)=N/C1=C\\c1ccc2[nH]cnc2c1		CHEMBL5360622	Dual specificity protein kinase CLK1, Dual specificity protein kinase CLK2, Dual specificity protein kinase CLK3, Dual specificity protein kinase CLK4, Dual specificity tyrosine-phosphorylation-regulated kinase 1A, Dual specificity tyrosine-phosphorylation-regulated kinase 1B, Dual specificity tyrosine-phosphorylation-regulated kinase 2, Dual specificity tyrosine-phosphorylation-regulated kinase 3, Dual specificity tyrosine-phosphorylation-regulated kinase 4	CHEMBL5404416	8.7	8.3	8.7	8.7	8.4	8	7.29	5.12	6.66			
CHEMBL5404544	O=C1NC(N[C@@H](CO)c2ccccc2)=N/C1=C\\c1ccc2ncsc2c1		CHEMBL5360622	Casein kinase I isoform epsilon, Cyclin-dependent kinase 5/CDK5 activator 1, Dual specificity protein kinase CLK1, Dual specificity protein kinase CLK2, Dual specificity protein kinase CLK3, Dual specificity protein kinase CLK4, Dual specificity tyrosine-phosphorylation-regulated kinase 1B, Dual specificity tyrosine-phosphorylation-regulated kinase 2, Dual specificity tyrosine-phosphorylation-regulated kinase 3, Dual specificity tyrosine-phosphorylation-regulated kinase 4, Glycogen synthase kina	CHEMBL5404544	9	8.22		8.52	8.3	6.29	6.54	6.75	5.78	6.19	6.69	5.33
CHEMBL5404644	O=C1NC(NC(CF)c2ccccc2)=N/C1=C\\c1ccc2ncsc2c1		CHEMBL5360622	Dual specificity protein kinase CLK1, Dual specificity protein kinase CLK2, Dual specificity protein kinase CLK3, Dual specificity protein kinase CLK4, Dual specificity tyrosine-phosphorylation-regulated kinase 1A, Dual specificity tyrosine-phosphorylation-regulated kinase 1B, Dual specificity tyrosine-phosphorylation-regulated kinase 2, Dual specificity tyrosine-phosphorylation-regulated kinase 3, Dual specificity tyrosine-phosphorylation-regulated kinase 4, Glycogen synthase kinase-3 beta	CHEMBL5404644	8.1	7.82	6.9	7.89	7.92	6.32	6.28	6.53	6.34	6.02		
CHEMBL5405059	O=C1NC(NC23CC4CC(CC(O)(C4)C2)C3)=N/C1=C\\c1ccc2ncsc2c1		CHEMBL5360622	Casein kinase I isoform epsilon, Cyclin-dependent kinase 5/CDK5 activator 1, Dual specificity protein kinase CLK1, Dual specificity protein kinase CLK3, Dual specificity protein kinase CLK4, Dual specificity tyrosine-phosphorylation-regulated kinase 1B, Dual specificity tyrosine-phosphorylation-regulated kinase 2, Dual specificity tyrosine-phosphorylation-regulated kinase 3, Dual specificity tyrosine-phosphorylation-regulated kinase 4, Glycogen synthase kinase-3 beta	CHEMBL5405059	8.7	8.15			9	7.85	7.96	6.67	7.32	6.5	6.48	5.96
CHEMBL5405233	O=C1NC(NC2CCCSC2)=N/C1=C\\c1ccc2ncsc2c1		CHEMBL5360622	Cyclin-dependent kinase 5/CDK5 activator 1, Dual specificity protein kinase CLK1, Dual specificity protein kinase CLK2, Dual specificity protein kinase CLK3, Dual specificity protein kinase CLK4, Dual specificity tyrosine-phosphorylation-regulated kinase 1A, Dual specificity tyrosine-phosphorylation-regulated kinase 1B, Dual specificity tyrosine-phosphorylation-regulated kinase 2, Dual specificity tyrosine-phosphorylation-regulated kinase 3, Dual specificity tyrosine-phosphorylation-regulated ki	CHEMBL5405233	9	8.15	8.52	7.43	7.57	6.47	6.91	6.97	6.61	5.14	5.6	
CHEMBL5405521	CN1CCC(NC2=N/C(=C\\c3ccc4ncsc4c3)C(=O)N2)C1=O		CHEMBL5360622	Dual specificity protein kinase CLK1, Dual specificity protein kinase CLK2, Dual specificity protein kinase CLK3, Dual specificity protein kinase CLK4, Dual specificity tyrosine-phosphorylation-regulated kinase 1A, Dual specificity tyrosine-phosphorylation-regulated kinase 1B, Dual specificity tyrosine-phosphorylation-regulated kinase 2, Dual specificity tyrosine-phosphorylation-regulated kinase 3, Dual specificity tyrosine-phosphorylation-regulated kinase 4	CHEMBL5405521	7.92	7.35	6.78	6.46	5.96	5.63	5.55	5.57	5.31			
CHEMBL5405572	O=C1NC(NC23CC4CC(CC(C4)C2)C3)=N/C1=C\\c1ccc2[nH]ncc2c1		CHEMBL5360622	Dual specificity protein kinase CLK1, Dual specificity protein kinase CLK2, Dual specificity protein kinase CLK3, Dual specificity protein kinase CLK4, Dual specificity tyrosine-phosphorylation-regulated kinase 1A, Dual specificity tyrosine-phosphorylation-regulated kinase 1B, Dual specificity tyrosine-phosphorylation-regulated kinase 2, Dual specificity tyrosine-phosphorylation-regulated kinase 3, Dual specificity tyrosine-phosphorylation-regulated kinase 4, Glycogen synthase kinase-3 beta	CHEMBL5405572	8.4	8.3	8	7.85	7.75	7.13	6.58	5.97	6.18	5.11		
CHEMBL5405680	COC(=O)[C@@H](CC(C)C)NC1=N/C(=C\\c2ccc3ncsc3c2)C(=O)N1		CHEMBL5360622	Dual specificity protein kinase CLK1, Dual specificity protein kinase CLK2, Dual specificity protein kinase CLK3, Dual specificity protein kinase CLK4, Dual specificity tyrosine-phosphorylation-regulated kinase 1A, Dual specificity tyrosine-phosphorylation-regulated kinase 1B, Dual specificity tyrosine-phosphorylation-regulated kinase 2, Dual specificity tyrosine-phosphorylation-regulated kinase 3, Dual specificity tyrosine-phosphorylation-regulated kinase 4, Glycogen synthase kinase-3 beta	CHEMBL5405680	7.47	7.26	7.47	6.42	6.72	5.29	5.62	6.07	5.65	5.87		
CHEMBL5405969	O=C1NC(NCc2ccccc2)=N/C1=C\\c1ccc2ncsc2c1		CHEMBL5360622	Cyclin-dependent kinase 5/CDK5 activator 1, Dual specificity protein kinase CLK1, Dual specificity protein kinase CLK2, Dual specificity protein kinase CLK3, Dual specificity protein kinase CLK4, Dual specificity tyrosine-phosphorylation-regulated kinase 1A, Dual specificity tyrosine-phosphorylation-regulated kinase 1B, Dual specificity tyrosine-phosphorylation-regulated kinase 2, Dual specificity tyrosine-phosphorylation-regulated kinase 3, Dual specificity tyrosine-phosphorylation-regulated ki	CHEMBL5405969	7.89	7.8	7.31	7.07	7.39	5.79	5.92	6.55	5.71	5.67	5.21	
CHEMBL5406461	COCC(Cc1ccccc1)NC1=N/C(=C\\c2ccc3ncsc3c2)C(=O)N1		CHEMBL5360622	Dual specificity protein kinase CLK1, Dual specificity protein kinase CLK2, Dual specificity protein kinase CLK3, Dual specificity protein kinase CLK4, Dual specificity tyrosine-phosphorylation-regulated kinase 1A, Dual specificity tyrosine-phosphorylation-regulated kinase 1B, Dual specificity tyrosine-phosphorylation-regulated kinase 2, Dual specificity tyrosine-phosphorylation-regulated kinase 3, Dual specificity tyrosine-phosphorylation-regulated kinase 4, Glycogen synthase kinase-3 beta	CHEMBL5406461	7.92	7.58	7.25	7	7.15	5.62	6.4	6.09	6.43	5.37		
CHEMBL5406527	CC(C)[C@@H]1CC[C@@H](C)C[C@H]1NC1=N/C(=C\\c2ccc3ncsc3c2)C(=O)N1		CHEMBL5360622	Dual specificity protein kinase CLK1, Dual specificity protein kinase CLK2, Dual specificity protein kinase CLK3, Dual specificity protein kinase CLK4, Dual specificity tyrosine-phosphorylation-regulated kinase 1A, Dual specificity tyrosine-phosphorylation-regulated kinase 1B, Dual specificity tyrosine-phosphorylation-regulated kinase 2, Dual specificity tyrosine-phosphorylation-regulated kinase 3, Dual specificity tyrosine-phosphorylation-regulated kinase 4	CHEMBL5406527	6.83	6.45	6.81	6.68	6.47	5.61	5.01	5.56	5.59			
CHEMBL5406568	O=C1NC(NCc2ccccn2)=N/C1=C\\c1ccc2ncsc2c1		CHEMBL5360622	Dual specificity protein kinase CLK1, Dual specificity protein kinase CLK2, Dual specificity protein kinase CLK3, Dual specificity protein kinase CLK4, Dual specificity tyrosine-phosphorylation-regulated kinase 1A, Dual specificity tyrosine-phosphorylation-regulated kinase 1B, Dual specificity tyrosine-phosphorylation-regulated kinase 2, Dual specificity tyrosine-phosphorylation-regulated kinase 3, Dual specificity tyrosine-phosphorylation-regulated kinase 4, Glycogen synthase kinase-3 beta	CHEMBL5406568	8.05	7.82	7.24	7.02	7.22	5.98	5.98	6.32	5.77	5.08		
CHEMBL5407040	Cc1nc2ccc(/C=C3\\N=C(NC45CC6CC(CC(C6)C4)C5)NC3=O)cc2s1		CHEMBL5360622	Dual specificity protein kinase CLK1, Dual specificity protein kinase CLK2, Dual specificity protein kinase CLK4, Dual specificity tyrosine-phosphorylation-regulated kinase 1A, Dual specificity tyrosine-phosphorylation-regulated kinase 1B, Dual specificity tyrosine-phosphorylation-regulated kinase 2, Dual specificity tyrosine-phosphorylation-regulated kinase 3	CHEMBL5407040	7.7	7.15	7.66	5.87	7.02	6.49	6.18					
CHEMBL5407057	CN1CCN(c2ncc(NC3=N/C(=C\\c4ccc5ncsc5c4)C(=O)N3)cn2)CC1		CHEMBL5360622	Dual specificity protein kinase CLK1, Dual specificity protein kinase CLK2, Dual specificity protein kinase CLK3, Dual specificity protein kinase CLK4, Dual specificity tyrosine-phosphorylation-regulated kinase 1A, Dual specificity tyrosine-phosphorylation-regulated kinase 1B, Dual specificity tyrosine-phosphorylation-regulated kinase 2, Dual specificity tyrosine-phosphorylation-regulated kinase 3, Dual specificity tyrosine-phosphorylation-regulated kinase 4, Glycogen synthase kinase-3 beta	CHEMBL5407057	7.75	7.43	7.17	6.84	7.5	6.95	6.76	5.72	6.53	5.93		
CHEMBL5407276	O=C1NC(Nc2cncnc2)=N/C1=C\\c1ccc2ncsc2c1		CHEMBL5360622	Dual specificity protein kinase CLK1, Dual specificity protein kinase CLK2, Dual specificity protein kinase CLK3, Dual specificity protein kinase CLK4, Dual specificity tyrosine-phosphorylation-regulated kinase 1A, Dual specificity tyrosine-phosphorylation-regulated kinase 1B, Dual specificity tyrosine-phosphorylation-regulated kinase 2, Dual specificity tyrosine-phosphorylation-regulated kinase 3, Dual specificity tyrosine-phosphorylation-regulated kinase 4, Glycogen synthase kinase-3 beta	CHEMBL5407276	7.89	7.6	6.66	6.9	6.57	6.16	6.21	6.24	5.86	5.52		
CHEMBL5407529	Cn1ccc(NC2=N/C(=C\\c3ccc4ncsc4c3)C(=O)N2)n1		CHEMBL5360622	Dual specificity protein kinase CLK1, Dual specificity protein kinase CLK2, Dual specificity protein kinase CLK3, Dual specificity protein kinase CLK4, Dual specificity tyrosine-phosphorylation-regulated kinase 1A, Dual specificity tyrosine-phosphorylation-regulated kinase 1B, Dual specificity tyrosine-phosphorylation-regulated kinase 2, Dual specificity tyrosine-phosphorylation-regulated kinase 3, Dual specificity tyrosine-phosphorylation-regulated kinase 4, Glycogen synthase kinase-3 beta	CHEMBL5407529	7.96	7.4	7.19	6.96	6.99	6.4	5.95	6.7	5.38	5.59		
CHEMBL5408047	CC(C)C[C@@H](CO)NC1=N/C(=C\\c2ccc3ncsc3c2)C(=O)N1		CHEMBL5360622	Dual specificity protein kinase CLK1, Dual specificity protein kinase CLK2, Dual specificity protein kinase CLK3, Dual specificity protein kinase CLK4, Dual specificity tyrosine-phosphorylation-regulated kinase 1A, Dual specificity tyrosine-phosphorylation-regulated kinase 1B, Dual specificity tyrosine-phosphorylation-regulated kinase 2, Dual specificity tyrosine-phosphorylation-regulated kinase 3, Dual specificity tyrosine-phosphorylation-regulated kinase 4, Glycogen synthase kinase-3 beta	CHEMBL5408047	7.8	7.31	7.8	7.24	7.37	6.13	5.3	6.26	5.19	5.03		
CHEMBL5408457	O=C1NC(NC2CCCCCC2)=N/C1=C\\c1ccc2[nH]cnc2c1		CHEMBL5360622	Dual specificity protein kinase CLK1, Dual specificity protein kinase CLK2, Dual specificity protein kinase CLK3, Dual specificity protein kinase CLK4, Dual specificity tyrosine-phosphorylation-regulated kinase 1A, Dual specificity tyrosine-phosphorylation-regulated kinase 1B, Dual specificity tyrosine-phosphorylation-regulated kinase 2, Dual specificity tyrosine-phosphorylation-regulated kinase 3, Dual specificity tyrosine-phosphorylation-regulated kinase 4	CHEMBL5408457	8.1	7.51	7.01	6.29	6.73	6.13	5.66	5.81	6.06			
CHEMBL5408531	Cn1cc2cc(/C=C3\\N=C(NC45CC6CC(CC(C6)C4)C5)NC3=O)ccc2n1		CHEMBL5360622	Dual specificity protein kinase CLK1, Dual specificity protein kinase CLK2, Dual specificity protein kinase CLK4, Dual specificity tyrosine-phosphorylation-regulated kinase 1A, Dual specificity tyrosine-phosphorylation-regulated kinase 1B, Dual specificity tyrosine-phosphorylation-regulated kinase 2, Dual specificity tyrosine-phosphorylation-regulated kinase 3, Dual specificity tyrosine-phosphorylation-regulated kinase 4	CHEMBL5408531	8.15	8.4	8.7	7.24	8.22	7.4	6.68		5.37			
CHEMBL5408540	O=C1NC(NC2CCCCCC2)=N/C1=C\\c1ccc2scnc2c1		CHEMBL5360622	Dual specificity protein kinase CLK4, Dual specificity tyrosine-phosphorylation-regulated kinase 1A	CHEMBL5408540	5.09		5.58									
CHEMBL5408907	CO[C@@H]1CCC[C@H]1NC1=N/C(=C\\c2ccc3ncsc3c2)C(=O)N1		CHEMBL5360622	Dual specificity protein kinase CLK1, Dual specificity protein kinase CLK2, Dual specificity protein kinase CLK3, Dual specificity protein kinase CLK4, Dual specificity tyrosine-phosphorylation-regulated kinase 1A, Dual specificity tyrosine-phosphorylation-regulated kinase 1B, Dual specificity tyrosine-phosphorylation-regulated kinase 2, Dual specificity tyrosine-phosphorylation-regulated kinase 3, Dual specificity tyrosine-phosphorylation-regulated kinase 4, Glycogen synthase kinase-3 beta	CHEMBL5408907	8.1	7.8	7.7	7.77	7.24	6.38	6.87	7.31	7.09	5.45		
CHEMBL5409178	CC(NC1=N/C(=C\\c2ccc3ncsc3c2)C(=O)N1)C12CC3CC(CC(C3)C1)C2		CHEMBL5360622	Dual specificity protein kinase CLK1, Dual specificity protein kinase CLK2, Dual specificity protein kinase CLK3, Dual specificity protein kinase CLK4, Dual specificity tyrosine-phosphorylation-regulated kinase 1A, Dual specificity tyrosine-phosphorylation-regulated kinase 1B	CHEMBL5409178	6.68	6.41	6.37	5.88	5.91			5.29				
CHEMBL5409218	O=C1NC(Nc2ccc3c(c2)CCC3)=N/C1=C\\c1ccc2ncsc2c1		CHEMBL5360622	Dual specificity protein kinase CLK1, Dual specificity protein kinase CLK2, Dual specificity protein kinase CLK4, Dual specificity tyrosine-phosphorylation-regulated kinase 1A, Dual specificity tyrosine-phosphorylation-regulated kinase 1B, Dual specificity tyrosine-phosphorylation-regulated kinase 2, Dual specificity tyrosine-phosphorylation-regulated kinase 3	CHEMBL5409218	6.99	6.79	5.2	5.78	5.81	5.6	5.57					
CHEMBL5409493	Cn1ncc2cc(/C=C3\\N=C(NC4CCCCCC4)NC3=O)ccc21		CHEMBL5360622	Dual specificity protein kinase CLK1, Dual specificity protein kinase CLK3, Dual specificity protein kinase CLK4, Dual specificity tyrosine-phosphorylation-regulated kinase 1A, Dual specificity tyrosine-phosphorylation-regulated kinase 1B, Dual specificity tyrosine-phosphorylation-regulated kinase 2, Dual specificity tyrosine-phosphorylation-regulated kinase 3, Dual specificity tyrosine-phosphorylation-regulated kinase 4	CHEMBL5409493	6.37	5.91	7.43		6.38	6.15	5.8	6.42	5.21			
CHEMBL5409574	CS(=O)(=O)NC12CC3CC(CC(NC4=N/C(=C\\c5ccc6ncsc6c5)C(=O)N4)(C3)C1)C2		CHEMBL5360622	Casein kinase I isoform epsilon, Cyclin-dependent kinase 5/CDK5 activator 1, Dual specificity protein kinase CLK1, Dual specificity protein kinase CLK2, Dual specificity protein kinase CLK3, Dual specificity protein kinase CLK4, Dual specificity tyrosine-phosphorylation-regulated kinase 1A, Dual specificity tyrosine-phosphorylation-regulated kinase 1B, Dual specificity tyrosine-phosphorylation-regulated kinase 2, Dual specificity tyrosine-phosphorylation-regulated kinase 3, Dual specificity tyro	CHEMBL5409574	8.7	8.15	9	9	8.7	7.62	7.12	5.99	6.63	6.29	5.81	5.24
CHEMBL5409693	O=C1NC(Nc2cccc(OC(F)F)c2)=N/C1=C\\c1ccc2ncsc2c1		CHEMBL5360622	Dual specificity protein kinase CLK1, Dual specificity protein kinase CLK2, Dual specificity protein kinase CLK3, Dual specificity protein kinase CLK4, Dual specificity tyrosine-phosphorylation-regulated kinase 1A, Dual specificity tyrosine-phosphorylation-regulated kinase 1B, Dual specificity tyrosine-phosphorylation-regulated kinase 2, Dual specificity tyrosine-phosphorylation-regulated kinase 3, Dual specificity tyrosine-phosphorylation-regulated kinase 4, Glycogen synthase kinase-3 beta	CHEMBL5409693	7.8	7.18	6.59	6.87	5.39	6.15	6.12	6.15	5.56	5.43		
CHEMBL5409730	CCOC[C@@H](CC(C)C)NC1=N/C(=C\\c2ccc3ncsc3c2)C(=O)N1		CHEMBL5360622	Dual specificity protein kinase CLK1, Dual specificity protein kinase CLK2, Dual specificity protein kinase CLK3, Dual specificity protein kinase CLK4, Dual specificity tyrosine-phosphorylation-regulated kinase 1A, Dual specificity tyrosine-phosphorylation-regulated kinase 1B, Dual specificity tyrosine-phosphorylation-regulated kinase 2, Dual specificity tyrosine-phosphorylation-regulated kinase 3, Dual specificity tyrosine-phosphorylation-regulated kinase 4, Glycogen synthase kinase-3 beta	CHEMBL5409730	8.4	7.89	9	6.96	8.3	6.19	6.84	6.38	6.01	5.57		
CHEMBL5409992	O=C1NC(Nc2ncccn2)=N/C1=C\\c1ccc2ncsc2c1		CHEMBL5360622	Dual specificity protein kinase CLK1, Dual specificity protein kinase CLK2, Dual specificity protein kinase CLK3, Dual specificity protein kinase CLK4, Dual specificity tyrosine-phosphorylation-regulated kinase 1A, Dual specificity tyrosine-phosphorylation-regulated kinase 1B, Dual specificity tyrosine-phosphorylation-regulated kinase 2, Dual specificity tyrosine-phosphorylation-regulated kinase 3, Dual specificity tyrosine-phosphorylation-regulated kinase 4, Glycogen synthase kinase-3 beta	CHEMBL5409992	7.47	7.18	6.46	6.2	6.28	5.39	5.62	5.64	5.04	5.11		
CHEMBL5410738	Cc1nc2ccc(/C=C3\\N=C(NC4CCCCC4)NC3=O)cc2s1		CHEMBL5360622	Dual specificity protein kinase CLK1, Dual specificity protein kinase CLK2, Dual specificity protein kinase CLK3, Dual specificity protein kinase CLK4, Dual specificity tyrosine-phosphorylation-regulated kinase 1A, Dual specificity tyrosine-phosphorylation-regulated kinase 1B, Dual specificity tyrosine-phosphorylation-regulated kinase 2, Dual specificity tyrosine-phosphorylation-regulated kinase 3	CHEMBL5410738	6.46	5.92	6.28	5.09	5.95	5.32	5.33	5.3				
CHEMBL5410991	O=C1NC(NC2CCCCCC2)=N/C1=C\\c1ccc2c(c1)OCO2		CHEMBL5360622	Dual specificity protein kinase CLK1, Dual specificity protein kinase CLK2, Dual specificity protein kinase CLK3, Dual specificity protein kinase CLK4, Dual specificity tyrosine-phosphorylation-regulated kinase 1A, Dual specificity tyrosine-phosphorylation-regulated kinase 1B, Dual specificity tyrosine-phosphorylation-regulated kinase 2, Dual specificity tyrosine-phosphorylation-regulated kinase 3, Dual specificity tyrosine-phosphorylation-regulated kinase 4	CHEMBL5410991	7.7	7.38	7.33	6.08	6.85	5.5	5.29	5.35	5.91			
CHEMBL5411157	CO[C@H]1CCCCC[C@H]1NC1=N/C(=C\\c2ccc3ncsc3c2)C(=O)N1		CHEMBL5360622	Dual specificity protein kinase CLK1, Dual specificity protein kinase CLK2, Dual specificity protein kinase CLK3, Dual specificity protein kinase CLK4, Dual specificity tyrosine-phosphorylation-regulated kinase 1A, Dual specificity tyrosine-phosphorylation-regulated kinase 1B, Dual specificity tyrosine-phosphorylation-regulated kinase 2, Dual specificity tyrosine-phosphorylation-regulated kinase 3, Dual specificity tyrosine-phosphorylation-regulated kinase 4, Glycogen synthase kinase-3 beta	CHEMBL5411157	8.22	7.96	7.47	7.07	7.09	6.28	6.08	6.41	6.07	5.52		
CHEMBL5411344	CC1(C)CNC(=O)C1NC1=N/C(=C\\c2ccc3ncsc3c2)C(=O)N1		CHEMBL5360622	Dual specificity protein kinase CLK1, Dual specificity protein kinase CLK2, Dual specificity protein kinase CLK3, Dual specificity protein kinase CLK4, Dual specificity tyrosine-phosphorylation-regulated kinase 1A, Dual specificity tyrosine-phosphorylation-regulated kinase 1B, Dual specificity tyrosine-phosphorylation-regulated kinase 2, Dual specificity tyrosine-phosphorylation-regulated kinase 3, Dual specificity tyrosine-phosphorylation-regulated kinase 4	CHEMBL5411344	7.55	7	6.77	6.04	5.81	5.7	6.07	5.35	5.46			
CHEMBL5411626	CC(C)(C)OC[C@H](NC1=N/C(=C\\c2ccc3ncsc3c2)C(=O)N1)c1ccccc1		CHEMBL5360622	Dual specificity protein kinase CLK1, Dual specificity protein kinase CLK2, Dual specificity protein kinase CLK3, Dual specificity protein kinase CLK4, Dual specificity tyrosine-phosphorylation-regulated kinase 1A, Dual specificity tyrosine-phosphorylation-regulated kinase 1B, Dual specificity tyrosine-phosphorylation-regulated kinase 2, Dual specificity tyrosine-phosphorylation-regulated kinase 3, Dual specificity tyrosine-phosphorylation-regulated kinase 4, Glycogen synthase kinase-3 beta	CHEMBL5411626	8.15	7.75	7.46	6.92	6.76	5.76	5.76	5.68	5.06	5		
