compound_id	smiles	molecule_name	document_chembl_id	target_summary	source_molecule_ids	chembl_chembl5360622_chembl5363957_ic50_chembl4203	chembl_chembl5360622_chembl5363954_ic50_chembl4224	chembl_chembl5360622_chembl5363958_ic50_chembl2292	chembl_chembl5360622_chembl5363955_ic50_chembl4225	chembl_chembl5360622_chembl5363959_ic50_chembl5543	chembl_chembl5360622_chembl5363961_ic50_chembl4575	chembl_chembl5360622_chembl5363960_ic50_chembl4376	chembl_chembl5360622_chembl5363956_ic50_chembl4226	chembl_chembl5360622_chembl5363962_ic50_chembl1075115	chembl_chembl5360622_chembl5363963_ic50_chembl262	chembl_chembl5360622_chembl5363953_ic50_chembl1907600	chembl_chembl5360622_chembl5363952_ic50_chembl4937
CHEMBL5395027	CO[C@H]1CCCC[C@H]1NC1=N/C(=C\\c2ccc3ncsc3c2)C(=O)N1		CHEMBL5360622	Dual specificity protein kinase CLK1, Dual specificity protein kinase CLK2, Dual specificity protein kinase CLK3, Dual specificity protein kinase CLK4, Dual specificity tyrosine-phosphorylation-regulated kinase 1A, Dual specificity tyrosine-phosphorylation-regulated kinase 1B, Dual specificity tyrosine-phosphorylation-regulated kinase 2, Dual specificity tyrosine-phosphorylation-regulated kinase 3, Dual specificity tyrosine-phosphorylation-regulated kinase 4, Glycogen synthase kinase-3 beta	CHEMBL5395027	7.5	7.28	6.95	6.19	6.69	5.97	5.8	5.95	6.14	5.02		
CHEMBL5395104	O=C1NC(NC23CC4CC(CC(C4)C2)C3)=N/C1=C\\c1ccc2scnc2c1		CHEMBL5360622	Dual specificity protein kinase CLK1, Dual specificity protein kinase CLK2, Dual specificity protein kinase CLK4, Dual specificity tyrosine-phosphorylation-regulated kinase 1A	CHEMBL5395104	5.46	5.05	5.47	5.08								
CHEMBL5395680	O=C1NC(NC2CCCCC2)=N/C1=C\\c1ccc2c(c1)OCO2		CHEMBL5360622	Dual specificity protein kinase CLK1, Dual specificity protein kinase CLK2, Dual specificity protein kinase CLK3, Dual specificity protein kinase CLK4, Dual specificity tyrosine-phosphorylation-regulated kinase 1A, Dual specificity tyrosine-phosphorylation-regulated kinase 1B, Dual specificity tyrosine-phosphorylation-regulated kinase 2, Dual specificity tyrosine-phosphorylation-regulated kinase 3, Dual specificity tyrosine-phosphorylation-regulated kinase 4, Glycogen synthase kinase-3 beta	CHEMBL5395680	7.37	7.04	7.13	6.02	6.81	5.68	5.6	5.37	5.88	5.08		
CHEMBL5395707	O=C1NC(NCc2cccnc2)=N/C1=C\\c1ccc2ncsc2c1		CHEMBL5360622	Dual specificity protein kinase CLK1, Dual specificity protein kinase CLK2, Dual specificity protein kinase CLK3, Dual specificity protein kinase CLK4, Dual specificity tyrosine-phosphorylation-regulated kinase 1A, Dual specificity tyrosine-phosphorylation-regulated kinase 1B, Dual specificity tyrosine-phosphorylation-regulated kinase 2, Dual specificity tyrosine-phosphorylation-regulated kinase 3, Dual specificity tyrosine-phosphorylation-regulated kinase 4, Glycogen synthase kinase-3 beta	CHEMBL5395707	8.4	8	6.62	7.28	6.79	6.04	5.7	6.14	5.86	5.55		
CHEMBL5396081	CO[C@H]1CCC[C@@H](NC2=N/C(=C\\c3ccc4ncsc4c3)C(=O)N2)C1		CHEMBL5360622	Dual specificity protein kinase CLK1, Dual specificity protein kinase CLK2, Dual specificity protein kinase CLK3, Dual specificity protein kinase CLK4, Dual specificity tyrosine-phosphorylation-regulated kinase 1A, Dual specificity tyrosine-phosphorylation-regulated kinase 1B, Dual specificity tyrosine-phosphorylation-regulated kinase 2, Dual specificity tyrosine-phosphorylation-regulated kinase 3, Dual specificity tyrosine-phosphorylation-regulated kinase 4, Glycogen synthase kinase-3 beta	CHEMBL5396081	7.96	7.62	7.7	6.41	6.11	5.74	6.38	5.98	5.83	5.05		
CHEMBL5396119	Cn1cc2cc(/C=C3\\N=C(NC4CCCCC4)NC3=O)ccc2n1		CHEMBL5360622	Dual specificity protein kinase CLK1, Dual specificity protein kinase CLK2, Dual specificity protein kinase CLK3, Dual specificity protein kinase CLK4, Dual specificity tyrosine-phosphorylation-regulated kinase 1A, Dual specificity tyrosine-phosphorylation-regulated kinase 1B, Dual specificity tyrosine-phosphorylation-regulated kinase 2, Dual specificity tyrosine-phosphorylation-regulated kinase 3	CHEMBL5396119	6.41	6.02	6.24	5.2	6.25	5.38	5.43	5.34				
CHEMBL5396280	CO[C@H]1CCC[C@H](NC2=N/C(=C\\c3ccc4ncsc4c3)C(=O)N2)CC1		CHEMBL5360622	Dual specificity protein kinase CLK1, Dual specificity protein kinase CLK2, Dual specificity protein kinase CLK3, Dual specificity protein kinase CLK4, Dual specificity tyrosine-phosphorylation-regulated kinase 1A, Dual specificity tyrosine-phosphorylation-regulated kinase 1B, Dual specificity tyrosine-phosphorylation-regulated kinase 2, Dual specificity tyrosine-phosphorylation-regulated kinase 3, Dual specificity tyrosine-phosphorylation-regulated kinase 4, Glycogen synthase kinase-3 beta	CHEMBL5396280	7.75	7.55	8.05	6.68	7.24	5.92	6.38	6.07	5.81	5.17		
CHEMBL5396386	CC(C)C[C@H](COC1CC1)NC1=N/C(=C\\c2ccc3ncsc3c2)C(=O)N1		CHEMBL5360622	Dual specificity protein kinase CLK1, Dual specificity protein kinase CLK2, Dual specificity protein kinase CLK3, Dual specificity protein kinase CLK4, Dual specificity tyrosine-phosphorylation-regulated kinase 1A, Dual specificity tyrosine-phosphorylation-regulated kinase 1B, Dual specificity tyrosine-phosphorylation-regulated kinase 2, Dual specificity tyrosine-phosphorylation-regulated kinase 3, Dual specificity tyrosine-phosphorylation-regulated kinase 4, Glycogen synthase kinase-3 beta	CHEMBL5396386	8.3	7.77	8.4	6.92	8.22	5.96	6.9	6.68	5.86	5.44		
CHEMBL5396550	O=C1NC(NC2CCCCC(F)(F)C2)=N/C1=C\\c1ccc2ncsc2c1		CHEMBL5360622	Casein kinase I isoform epsilon, Cyclin-dependent kinase 5/CDK5 activator 1, Dual specificity protein kinase CLK1, Dual specificity protein kinase CLK2, Dual specificity protein kinase CLK3, Dual specificity protein kinase CLK4, Dual specificity tyrosine-phosphorylation-regulated kinase 1A, Dual specificity tyrosine-phosphorylation-regulated kinase 1B, Dual specificity tyrosine-phosphorylation-regulated kinase 2, Dual specificity tyrosine-phosphorylation-regulated kinase 3, Dual specificity tyro	CHEMBL5396550	8.52	8.22	8.7	8.3	8.3	7.46	7.24	7.02	6.76	5.87	6.22	6.38
CHEMBL5396752	O=C1NC(N[C@H]2COCC[C@@H]2O)=N/C1=C\\c1ccc2ncsc2c1		CHEMBL5360622	Dual specificity protein kinase CLK1, Dual specificity protein kinase CLK2, Dual specificity protein kinase CLK3, Dual specificity protein kinase CLK4, Dual specificity tyrosine-phosphorylation-regulated kinase 1A, Dual specificity tyrosine-phosphorylation-regulated kinase 1B, Dual specificity tyrosine-phosphorylation-regulated kinase 2, Dual specificity tyrosine-phosphorylation-regulated kinase 3, Dual specificity tyrosine-phosphorylation-regulated kinase 4	CHEMBL5396752	7.52	7.05	6.66	6.34	6.47	5.71	5.8	5.86	5.73			
