compound_id	smiles	series	batch_id	source_id	synonyms	spark_achaogen_lpxc_pic50	spark_achaogen_lpxc_ic50_um	spark_achaogen_primary_mic_pseudomonas_aeruginosa_pmic	spark_achaogen_primary_mic_pseudomonas_aeruginosa_mic_um	spark_achaogen_primary_mic_escherichia_coli_pmic	spark_achaogen_primary_mic_escherichia_coli_mic_um	spark_achaogen_primary_mic_klebsiella_pneumoniae_pmic	spark_achaogen_primary_mic_klebsiella_pneumoniae_mic_um	spark_achaogen_primary_mic_staphylococcus_aureus_pmic	spark_achaogen_primary_mic_staphylococcus_aureus_mic_um	spark_achaogen_primary_mic_acinetobacter_baumannii_pmic	spark_achaogen_primary_mic_acinetobacter_baumannii_mic_um	spark_achaogen_primary_mic_yersinia_enterocolitica_pmic	spark_achaogen_primary_mic_yersinia_enterocolitica_mic_um	spark_achaogen_primary_mic_burkholderia_thailandensis_pmic	spark_achaogen_primary_mic_burkholderia_thailandensis_mic_um	spark_achaogen_lpxc_mic_acinetobacter_baumannii_pmic	spark_achaogen_lpxc_mic_acinetobacter_baumannii_mic_um	spark_achaogen_lpxc_mic_escherichia_coli_pmic	spark_achaogen_lpxc_mic_escherichia_coli_mic_um	spark_achaogen_lpxc_mic_burkholderia_cepacia_pmic	spark_achaogen_lpxc_mic_burkholderia_cepacia_mic_um	spark_achaogen_lpxc_mic_pseudomonas_aeruginosa_pmic	spark_achaogen_lpxc_mic_pseudomonas_aeruginosa_mic_um	spark_achaogen_lpxc_mic_klebsiella_pneumoniae_pmic	spark_achaogen_lpxc_mic_klebsiella_pneumoniae_mic_um	spark_achaogen_lpxc_mic_klebsiella_oxytoca_pmic	spark_achaogen_lpxc_mic_klebsiella_oxytoca_mic_um	spark_achaogen_lpxc_mic_achromobacter_spp_pmic	spark_achaogen_lpxc_mic_achromobacter_spp_mic_um	spark_achaogen_lpxc_mic_achromobacter_xylosoxidans_pmic	spark_achaogen_lpxc_mic_achromobacter_xylosoxidans_mic_um	spark_achaogen_lpxc_mic_ralstonia_mannitolytica_pmic	spark_achaogen_lpxc_mic_ralstonia_mannitolytica_mic_um	spark_achaogen_lpxc_mic_stenotrophomonas_spp_pmic	spark_achaogen_lpxc_mic_stenotrophomonas_spp_mic_um	spark_achaogen_lpxc_mic_stenotrophomonas_maltophilia_pmic	spark_achaogen_lpxc_mic_stenotrophomonas_maltophilia_mic_um	spark_achaogen_protein_binding_human_fraction_free_pct	spark_achaogen_protein_binding_rat_fraction_free_pct	spark_achaogen_protein_binding_mouse_fraction_free_pct	spark_achaogen_protein_binding_dog_fraction_free_pct	spark_achaogen_protein_binding_nhp_fraction_free_pct	spark_achaogen_cytotox_ic50_um	spark_achaogen_cytotox_r_squared	spark_achaogen_mic_population_mic50_ug_ml	spark_achaogen_mic_population_mic90_ug_ml	spark_achaogen_mic_population_min_mic_ug_ml	spark_achaogen_mic_population_max_mic_ug_ml	spark_achaogen_pae_clinical_isolate_mic5_ug_ml	spark_achaogen_pk_rat_iv_auc_0_inf_hr_ug_ml	spark_achaogen_pk_rat_iv_auc_0_t_hr_ug_ml	spark_achaogen_pk_rat_iv_cmax_ug_ml	spark_achaogen_pk_rat_iv_c0_ug_ml	spark_achaogen_pk_rat_iv_cl_l_hr_kg	spark_achaogen_pk_rat_iv_vss_l_kg	spark_achaogen_pk_rat_iv_free_auc_0_t_hr_ug_ml	spark_achaogen_pk_rat_iv_free_cmax_ug_ml	spark_achaogen_pk_rat_iv_free_cl_l_hr_kg
SPK-0125763	CC(C)(N)[C@H](NC(=O)C1=CC=C(C=C1)C#CC#CC1C[C@@H]1CO)C(N)=O	LpxC inhibitors	SPK-0125763-001																																																					6.1	6.1	31	62	1.6	0.84	1.2	5.8	8.6
SPK-0125762	CC(C)(O)[C@H](NC(=O)C1=CC=C(C=C1)C#C)C(N)=O	LpxC inhibitors	SPK-0125762-001																																																					47	38	13	15	0.21	1	16	5.7	0.62
SPK-0125761	CC(C)(O)[C@H](NC(=O)C1=CC=C(C=C1)C#CC#CC1CN(CCO)C1)C(N)=O	LpxC inhibitors	SPK-0125761-001																																																					2.2	2.2	8	13	4.6	2.3	1.1	4.1	8.7
SPK-0125717	COC1(CS(=O)(=O)C1)C(NC(=O)C1=CC=C(C=C1)C#C\\C=C/CCO)C(=O)NO	LpxC inhibitors	SPK-0125717-001	1	C000050563	8.57	0.0027	4.7	18.9	4.7	18.9	4.1	75.7																																										12.1									
SPK-0125716	COC1(CS(=O)(=O)C1)C(NC(=O)C1CCC(=CC1)C1=CC=CC=C1)C(=O)NO	LpxC inhibitors	SPK-0125716-001	1	C000050548	7.8	0.016	4.1	78.3	4	111	3.8	157																																										39.4									
SPK-0125715	COC1(CS(=O)(=O)C1)[C@@H](NC(=O)C1=CC=C(C=C1)C#CC#CCCO)C(=O)NO	LpxC inhibitors	SPK-0125715-001	1	C000050515	8.09	0.0081	4.5	35	4.9	12.4	4.2	70																																										18.4									
SPK-0125714	ONC(=O)[C@@H](NC(=O)C1=CC=C(C=C1)S(F)(F)(F)(F)F)C1(CNC1)C#C	LpxC inhibitors	SPK-0125714-001	1	C000050511	7.26	0.055	5.7	1.95	3.9	125	3.9	125																															42	42.4										1.15									
SPK-0125713	ONC(=O)[C@@H](NC(=O)C1=CC=C(C=C1)S(F)(F)(F)(F)F)C1(CNC1)C=C	LpxC inhibitors	SPK-0125713-001	1	C000050506	7.39	0.041	5.9	1.37	3.9	124	3.9	124																															48.6	41.8										1.07	5	4.9	23	40	2	2.2	2	9.8	4.9
SPK-0125712	CC#CC1=CC=C(C=C1)C(=O)N[C@H](C(=O)NO)C(C)(C)NS(=O)(=O)C1COC1	LpxC inhibitors	SPK-0125712-001	1	C000050500	8.85	0.0014	5.3	4.88	4.7	19.5	3.8	156																															34.9	34										4									
SPK-0125711	COC1(CNC1)C(NC(=O)C1=CC=C(C=C1)C(F)(F)F)C(=O)NO	LpxC inhibitors	SPK-0125711-001	1	C000050480			5.1	8.67	3.9	139	4.2	69.4																															64.2	66.9										6.96									
SPK-0125710	CCCC(=O)N[C@H](C(=O)NO)C(C)(C)N	LpxC inhibitors	SPK-0125710-001	1	C000050474			3.1	773	3.1	773	3.1	773																																										256									
SPK-0125709	CCOC1(CNC1)C(NC(=O)C1=CC=C(C=C1)S(F)(F)(F)(F)F)C(=O)NO	LpxC inhibitors	SPK-0125709-001	1	C000050470	6.89	0.13	5.1	8.78	3.9	140	3.9	140																															47.8	46.8										6.06									
SPK-0125708	CC1(CNC1)[C@H](NC(=O)C1=CC=C(C=C1)S(F)(F)(F)(F)F)C(=O)NO	LpxC inhibitors	SPK-0125708-001	1	C000050437	6.74	0.18	5.4	3.975	3.85	138.5	3.85	138.5																															56.1	51.4										2.415									
SPK-0125707	CC(C)(N)[C@H](NC(=O)C1=CC=C(C=C1)C#CC#CC1CC2(CNC2)C1)C(=O)NO	LpxC inhibitors	SPK-0125707-001	1	C000050435	8.54	0.0029	4.4	44.5	4.4	44.5	4.2	62.9																																										42.2									
SPK-0125706	CC(C)(O)[C@H](NC(=O)C1=CC=C(C=C1)C#CC#CC1CC2(C1)CN(C2)C=O)C(=O)NO	LpxC inhibitors	SPK-0125706-001	1	C000050424	9	0.001	5.3	4.72	6.1	0.835	5.6	2.36																															21.6	13.4										3.48									
SPK-0125705	[H]C(=O)N1CC(C1)(OC)C(NC(=O)C1=CC=C(C=C1)C#CC#CCCO)C(=O)NO	LpxC inhibitors	SPK-0125705-001	1	C000050412	8.15	0.007	4.1	80.1	3.9	113	3.8	160																																										48.5									
SPK-0125704	CC#CC1=CC=C(C=C1)C(=O)N[C@H](C(=O)NO)[C@](C)(O)C1CN(C)C1	LpxC inhibitors	SPK-0125704-001	1	C000050368			3.9	139	3.3	557	3.3	557																																										97									
SPK-0125703	CC#CC1=CC=C(C=C1)C(=O)N[C@H](C(=O)NO)[C@](C)(O)C1CNC1	LpxC inhibitors	SPK-0125703-001	1	C000050361			3.7	203	3.2	575	3.2	575																																										181									
SPK-0125702	ONC(=O)[C@@H](NC(=O)C1=CC=C(C=C1)S(F)(F)(F)(F)F)[C@H]1COCCN1	LpxC inhibitors	SPK-0125702-001	1	C000050355	7.32	0.048	4.7	19.7	3.2	632	3.2	632																																										9.85									
SPK-0125701	COC1(CNC1)C(NC(=O)C1=CC=C(C=C1)C#CC#CCCO)C(=O)NO	LpxC inhibitors	SPK-0125701-001	1	C000050344	7.25	0.056	4.5	33	3.9	132	3.6	264																																										19.7									
SPK-0125700	CC#CC1=CC=C(C=C1)C(=O)N[C@@H]([C@H]1COCCN1)C(=O)NO	LpxC inhibitors	SPK-0125700-001	1	C000050337	6.96	0.11	5	9.27	3.8	148	3.2	593																															39.1	55.9										8									
SPK-0125699	OCCC#CC#CC1=CC=C(C=C1)C(=O)N[C@@H](C(=O)NO)C1(O)CNC1	LpxC inhibitors	SPK-0125699-001	1	C000050333			3.3	543	3.3	543	3.3	543																																										256									
SPK-0125698	CC#CC1=CC=C(C=C1)C(=O)N[C@H](C(=O)NO)C(C)(C)NCC[N+](C)(C)C	LpxC inhibitors	SPK-0125698-001	1	C000050303	6.28	0.53	3.6	262	3.3	524	3.3	524																																										194									
SPK-0125697	CN1C(N)=NC(C)=C1C(NC(=O)C1=CC=C(I)C=C1)C(=O)NO	LpxC inhibitors	SPK-0125697-001	1	C000050298	4.3	50	3.3	471	3.3	471	3.3	471																																										256									
SPK-0125696	NC1CC(F)(C1)C(NC(=O)C1=CC=C(C=C1)C#CC#CCCO)C(=O)NO	LpxC inhibitors	SPK-0125696-001	1	C000050296	6.72	0.19	4.7	19.5	3.5	312	3.2	625																																										26									
SPK-0125695	CC(C)(NCC(F)F)[C@H](NC(=O)C1=CC=C(C=C1)C#CC#C[C@@H]1C[C@H]1CO)C(=O)NO	LpxC inhibitors	SPK-0125695-001	1	C000050294	8.66	0.0022	5.4	3.65	6.6	0.228	6.3	0.457															5.7	1.83															4.73	6.19						1	2	0.25	4	2.73									
SPK-0125694	CC#CC1=CCC(CC1)C(=O)N[C@H](C(=O)NO)C(C)(C)N	LpxC inhibitors	SPK-0125694-001	1	C000050284	6.23	0.59	4.9	12.4	3.4	444	3.2	628															5.3	4.91															62.6	56.9						4	16	2	16	7.29	2.8	2.8	8.3	15	3.6	3	1.6	4.7	6.2
SPK-0125693	CC#CC1=CC=C(C=C1)C(=O)N[C@H](C(=O)NO)C(C)(C)NCC(C)C	LpxC inhibitors	SPK-0125693-001	1	C000050279	7.06	0.088	4.9	12.3	4.9	12.3	4.8	17.4																																										9.19									
SPK-0125692	CC(C)(N)[C@H](NC(=O)C1=CC=C(OC(F)(F)F)N=C1)C(=O)NO	LpxC inhibitors	SPK-0125692-001	1	C000050273	6.27	0.54	4.9	12.6	3.5	284	3.2	569																																										8.78									
SPK-0125691	CC(C)([C@H](NC(=O)C1=CC=C(C=C1)C#CC#CCCO)C(=O)NO)S(=O)(=O)C1CNC1	LpxC inhibitors	SPK-0125691-001	1	C000050265	8.4	0.004	4.5	31.5	4.5	31.5	4.5	31.5																																										32	9.2	9.2	46	64	1.1	0.21			
SPK-0125690	CC(C)(N)[C@H](NC(=O)N1CCC[C@@H](F)C1)C(=O)NO	LpxC inhibitors	SPK-0125690-001	1	C000050259	4.2	63	3.3	463	3	926	3	926																																										104									
SPK-0125689	COC1CCCN(CC1)C(=O)N[C@H](C(=O)NO)C(C)(C)N	LpxC inhibitors	SPK-0125689-001	1	C000050253	4.46	35	3.2	615	3.2	615	3.2	615																																										256									
SPK-0125688	CC(C)(N)[C@H](NC(=O)C1CCN(CC(F)(F)F)CC1)C(=O)NO	LpxC inhibitors	SPK-0125688-001	1	C000050246	4.46	35	3.2	563	3.2	563	3.2	563																																										256									
SPK-0125687	CC(C)(N)[C@H](NC(=O)C1=CC=C(OC(F)F)N=C1)C(=O)NO	LpxC inhibitors	SPK-0125687-001	1	C000050238	5.735	4.735	5	9.25	3.8	148	3.2	592															5.3	4.63															70.6	64.5						2	8	1	16	6.06	2.8	2.7	11	18	3.7	2.6	1.7	7.4	5.7
SPK-0125686	C[C@@H](N)[C@H](NC(=O)C1=CC=C(OC(F)(F)F)C=C1)C(=O)NO	LpxC inhibitors	SPK-0125686-001	1	C000050232	5.885	5.085	5.4	4.43	3.2	566	3.2	566															5.6	2.62															33.7	9.96						1	4	0.5	4	2.04									
SPK-0125685	CC(C)(NCCO)[C@H](NC(=O)C1=CC=C(C=C1)C#C)C(=O)NO	LpxC inhibitors	SPK-0125685-001	1	C000050224	7.12	0.076	5	10.5	3.9	119	3.2	675																															62.1	67.1										6.96									
SPK-0125684	CC(C)(N)[C@H](NC(=O)N1CCC2(CC2)CC1)C(=O)NO	LpxC inhibitors	SPK-0125684-001	1	C000050221	5.72	1.9	4.5	28.4	3.3	454	3.2	643																															87.3	93.5										16									
SPK-0125683	CC(C)(N)[C@H](NC(=O)N1CC2(C1)CCCC2)C(=O)NO	LpxC inhibitors	SPK-0125683-001	1	C000050220	5.48	3.3	3.8	161	3.2	643	3.2	643																															93.5	91.8										59.7									
SPK-0125682	CC(C)(N)[C@H](NC(=O)N1CC2CC(C2)C1)C(=O)NO	LpxC inhibitors	SPK-0125682-001	1	C000050219	5.16	6.9	4.4	41.6	3.2	666	3.2	666																																										19.7									
SPK-0125681	COC1=CC=C(C(F)=C1)C1=CC=CN(CCC(C)(C(=O)NO)S(C)(=O)=O)C1=O	LpxC inhibitors	SPK-0125681-001	1	C000050218			3.8	155	3.8	155	3.8	155																																										64									
SPK-0125679	CC(C)(O)[C@H](NC(=O)C1=CC=C(C=C1)C#CC#CC1CN(C1)C(=O)C1CCC1)C(=O)NO	LpxC inhibitors	SPK-0125679-001	1	C000050192	8.89	0.0013	5.2	6.46	6.2	0.571	5.3	4.57																															9.01	8.77										3.48									
SPK-0125678	CC(C)(O)[C@H](NC(=O)C1=CC=C(C=C1)C#CC#CCCS(C)(=O)=O)C(=O)NO	LpxC inhibitors	SPK-0125678-001	1	C000050183	8.12	0.0075	4.7	19.7	5.3	4.92	4.6	27.8																																										10.6									
SPK-0125677	CC(C)([C@H](NCC1=NOC(=C1)C1=CC=CC=C1)C(=O)NO)S(C)(=O)=O	LpxC inhibitors	SPK-0125677-001	1	C000050169	7.57	0.027	4.5	30.8	4.1	87.1	3.8	174																																										13.9									
SPK-0125676	CN1C=NC(CS(=O)(=O)C(C)(C)[C@H](NC(=O)C2=CC=C(C=C2)C#CC#CCCO)C(=O)NO)=C1	LpxC inhibitors	SPK-0125676-001	1	C000050159	8.28	0.0053	5.1	8.22	4.9	11.6	4.8	16.4																															26.1	14.8										6.5									
SPK-0125675	CN1C=CN=C1CS(=O)(=O)C(C)(C)[C@H](NC(=O)C1=CC=C(C=C1)C#CC#CCCO)C(=O)NO	LpxC inhibitors	SPK-0125675-001	1	C000050157	8.44	0.0036	5.1	7.32	5.7	1.83	5.1	7.32																															27.3	19.2										4									
SPK-0125674	OCCC#CC#CC1=CC=C(C=C1)C(=O)N[C@H]([C@H]1COC(=O)N1)C(=O)NO	LpxC inhibitors	SPK-0125674-001	1	C000050153	5.7	2	3.8	172	3.8	172	3.8	172																																										64									
SPK-0125673	CC(C)([C@H](NC(=O)C1=CC=C(C=C1)C#CC#CCCO)C(=O)NO)S(=O)(=O)CC(O)CO	LpxC inhibitors	SPK-0125673-001	1	C000050141	8.62	0.0024	3.9	137	3.9	137	3.9	137																																										64									
SPK-0125672	CC(C)(NCCS(C)(=O)=O)[C@H](NC(=O)C1=CC=C(C=C1)C#CC#C[C@@H]1C[C@H]1CO)C(=O)NO	LpxC inhibitors	SPK-0125672-001	1	C000050122	7.2	0.063	4.6	23.8	4.6	23.8	4.5	33.6																																										16									
SPK-0125671	CC(C)S(=O)(=O)C(C)(C)[C@H](NC(=O)C1=CC=C(C=C1)C#CC#CCCO)C(=O)NO	LpxC inhibitors	SPK-0125671-001	1	C000050119	8.24	0.00575	5.6	2.3	5.9	1.15	5.3	4.6																															18.2	19.6										1.52	3.9	3.9	17	27	2.6	0.78	0.76	3.3	13
SPK-0125670	CC(C)(NS(N)(=O)=O)[C@H](NC(=O)C1=CC=C(C=C1)C#CC#CCCO)C(=O)NO	LpxC inhibitors	SPK-0125670-001	1	C000050118	8.52	0.003	4.1	75.7	5	9.47	4.3	53.6																																										29.9									
SPK-0125669	CN1C=NC=C1C(NC(=O)C1=CC=C(C=C1)C#CC#CCCO)C(=O)NO	LpxC inhibitors	SPK-0125669-001	1	C000050116	6.88	0.132	3.8	175	3.8	175	3.8	175																															35.4	28.5										64									
SPK-0125668	CC(C)(O)[C@H](NC(=O)C1=CC=C(C=C1)C#CC#CCOCCO)C(=O)NO	LpxC inhibitors	SPK-0125668-001	1	C000050065	6.7	0.2	3.8	171	3.8	171	3.8	171																																										64									
SPK-0125667	CNC(=O)C(C)(CCN1C=CC(=CC1=O)C1=C(F)C=C(OC)C=C1)C(=O)NO	LpxC inhibitors	SPK-0125667-001	1	C000050053			3.8	164	3.8	164	3.8	164															4.1	102.45																										64									
SPK-0125666	C[C@@H](O)[C@H](NC(=O)C1=CC=C(C=C1)C#C)C(=O)NO	LpxC inhibitors	SPK-0125666-001	1	C000050036	6.79	0.163	4.7	21.3	3.8	170	3.8	170																																										14.9									
SPK-0125665	C[C@@](O)(C(NC(=O)C1=CC=C(OC(F)(F)F)C=C1)C(=O)NO)C1=CNN=N1	LpxC inhibitors	SPK-0125665-001	1	C000050034	7.31	0.0485	3.9	127	3.9	127	3.9	127																																										64									
SPK-0125664	CC(C)(O)[C@H](NC(=O)C1=CC=C(C=C1)C#C)C(=O)NO	LpxC inhibitors	SPK-0125664-001	1	C000050030	6.24	2.0905	4.35	41.25	3.75	174	3.15	695																															29.3	29.8										18.195	5.1	4.8	16	23	2	2.8	1.4	4.7	6.9
SPK-0125663	COC1=CC=C(C(F)=C1)C1=CC(=O)N(CCC(C)(C(=O)NO)S(C)(=O)=O)C=C1	LpxC inhibitors	SPK-0125663-001	1	C000050000	8.685	0.0091175	5.6	2.42	6.5	0.303	6.1	0.857																															19.5	20.4				220	0.939					1.62									
SPK-0125662	CN(C)C1CN(C1)C1CC(C1)C#CC#CC1=CC=C(C=C1)C(=O)N[C@H](C(=O)NO)C(C)(C)O	LpxC inhibitors	SPK-0125662-001	1	C000049984	8.8	0.0016	4.9	14.1	5.3	4.99	4.9	14.1																															41.4	39.3										10.6									
SPK-0125661	CC(C)(O)[C@H](NC(=O)C1=CC=C(C=C1)C#CC#CC1CN(C1)C(=O)[C@@H]1CCN1)C(=O)NO	LpxC inhibitors	SPK-0125661-001	1	C000049969	8.47	0.0034	4.8	14.5	4.5	29	4.2	57.9																															57.1	35.3										16									
SPK-0125660	CC(C)([C@H](NC(=O)C1=CC=C(C=C1)C#CC#CC1CN(CCO)C1)C(=O)NO)S(C)(=O)=O	LpxC inhibitors	SPK-0125660-001	1	C000049958	9.2	0.00063	5.35	4.875	5.7	1.92	5.4	4.33					5.1	7.67	4.8	15.3					4.5	30.7	5.7	1.92									5.7	1.92					39.1	41.7				436	0.91	1	4	0.25	8	4.49	4.8	4.8	29	43	2.1	0.46	2	12	5
SPK-0125658	COC1=NC=CC(=C1)C1=CC=C(C=C1)C(=O)N[C@H](C(=O)NO)C(C)(C)N	LpxC inhibitors	SPK-0125658-001	1	C000049929			4.8	16.9																			4.5	33.9																																			
SPK-0125657	COC1=CC=C(C(F)=C1)C1=CC=C(C=C1)C(=O)N[C@H](C(=O)NO)C(C)(C)N	LpxC inhibitors	SPK-0125657-001	1	C000049927	9	0.001	5.8	1.62	5.1	8.17	4.5	32.7															5.4	4.53																				3	0.985					1									
SPK-0125656	CC(C)(O)[C@H](NC(=O)C1=CC=C(C=C1)C#CC#CC1CC(C1)N1CC(F)C1)C(=O)NO	LpxC inhibitors	SPK-0125656-001	1	C000049910	9.55	0.00028	5.7	1.85	6.9	0.115	6.3	0.462															5.35	4.5																				39.5	0.93					1.15									
SPK-0125655	C[C@H](O)\\C=C\\C#CC1=CC=C(C=C1)C(=O)N[C@@H]([C@@H](C)N)C(=O)NO	LpxC inhibitors	SPK-0125655-001	1	C000005402			5.2	6.04																			4.6	24.1																						8	16	1	16										
SPK-0125654	CC(C)(N)[C@H](NC(=O)C1=CC=C(C=C1)C#CC#CCOCCO)C(=O)NO	LpxC inhibitors	SPK-0125654-001	1	C000005378	8.24	0.0058	5.6	2.68	5.95	2.0625	5.3	5.36	4.1	85.7													6.2	0.67																				520	0.96	0.25	2	0.063	8	1.52									
SPK-0125653	CN1C=C(C=CC1=O)C#CC#CC1=CC=C(C=C1)C(=O)N[C@H](C(=O)NO)C(C)(C)N	LpxC inhibitors	SPK-0125653-001	1	C000005376			5	9.84	6.2	1.304			4.1	78.7																																																	
SPK-0125652	CN1C=CC(=CC1=O)C#CC#CC1=CC=C(C=C1)C(=O)N[C@H](C(=O)NO)C(C)(C)N	LpxC inhibitors	SPK-0125652-001	1	C000005368	8.85	0.0014	5.6	2.46	6.2	1.304			4.1	78.7													4.7	19.7																																			
SPK-0125651	CC(C)(N)[C@H](NC(=O)C1=CC=C(C=C1)C#CC#CC(C)(O)CO)C(=O)NO	LpxC inhibitors	SPK-0125651-001	1	C000005355	7.4	0.04	5.3	5.36	4.4	53.55			4.1	85.7													4.4	42.8																																			
SPK-0125650	CNC[C@@H]1C[C@H]1C#CC#CC1=CC=C(C=C1)C(=O)N[C@H](C(=O)NO)C(C)(C)O	LpxC inhibitors	SPK-0125650-001	1	C000005351			5	10.4	5	13.06			4.1	83.5																																																	
SPK-0125649	CC(C)(N)[C@H](NC(=O)C1=CC=C(C=C1)C#CC#C[C@@H](O)CO)C(=O)NO	LpxC inhibitors	SPK-0125649-001	2	C000005331	7.885	0.01295	5.3	5.57	4.7	27.8	4.1	89	4.1	89			4.4	44.5	4.4	44.5					4.4	44.5	5	11.1									4.7	22.3												2	8	0.5	16	8.78									
SPK-0125648	C[C@@H](NC(=O)[C@H](N)CO)[C@H](NC(=O)C1=CC=C(C=C1)C#CC#CCCO)C(=O)NO	LpxC inhibitors	SPK-0125648-001	1	C000005321			4.1	76.8	4.1	76.8			4.1	76.8			4.1	76.8	4.1	76.8					4.1	76.8																																					
SPK-0125647	CC(O)CC#CC#CC1=CC=C(C=C1)C(=O)N[C@H](C(=O)NO)C(C)(C)N	LpxC inhibitors	SPK-0125647-001	1	C000005277			5.75	1.87	5.4	3.96	5	11.2	4.15	67.15			4.4	38.2	5.3	5.6					4.3	44.8	5.6	2.8															41	55										0.871									
SPK-0125646	CC(=O)N[C@H]1C[C@@H]1C#CC#CC1=CC=C(C=C1)C(=O)N[C@H](C(=O)NO)C(C)(C)N	LpxC inhibitors	SPK-0125646-001	1	C000005275			5.3	5.04	5	10.1			4.1	80.7			4.4	40.4	4.8	16					4.1	80.7																																					
SPK-0125645	[H]C(=O)N1CC(C1)C#CC#CC1=CC=C(C=C1)C(=O)N[C@H](C(=O)NO)C(C)(C)NC	LpxC inhibitors	SPK-0125645-001	2	C000005273			5.9	1.26	5.7	2.055			4.25	60.55			4.9	12.2	5.25	5.7					5	10.1	5.6	2.52															52.5	32.7																			
SPK-0125644	CNC(C)(C)[C@H](NC(=O)C1=CC=C(C=C1)C#CC#C[C@H]1C[C@H](O)C1)C(=O)NO	LpxC inhibitors	SPK-0125644-001	1	C000005269			6.5	0.326	6.25	0.5565			4.4	41.7			5.6	2.61	5.7	1.84					5.3	5.22																																					
SPK-0125643	CC1=CC(CNC(C)(C)[C@H](NC(=O)C2=CC=C(C=C2)C#CC#CCCO)C(=O)NO)=NO1	LpxC inhibitors	SPK-0125643-001	1	C000005261			5	9.12	6.05	1.2825			4.4	36.5			4.4	36.5	4.7	18.2					4.4	36.5																																					
SPK-0125642	CC1=CC(=NO1)[C@@H](N)[C@@H](NC(=O)C1=CC=C(C=C1)C#CC#C[C@@H]1C[C@H]1CO)C(=O)NO	LpxC inhibitors	SPK-0125642-001	1	C000005260			4.4	37.9	4.55	28.4			4.4	37.9			4.4	37.9	4.4	37.9					4.4	37.9																																					
SPK-0125641	CC1=CC(=NO1)C(O)C(NC(=O)C1=CC=C(C=C1)C#CC#C[C@@H]1C[C@H]1CO)C(=O)NO	LpxC inhibitors	SPK-0125641-001	1	C000005254			4.7	18.9	5.15	10.63			4.7	18.9			4.7	18.9	4.7	18.9					4.7	18.9																																					
SPK-0125640	CC(C)(N)[C@H](NC(=O)C1=CC=C(C=C1)C#CC#CCC(O)CO)C(=O)NO	LpxC inhibitors	SPK-0125640-001	1	C000005233			5.4	4.25	4.6	29.9			3.8	171			4.1	85.7	4.4	42.8					3.8	171	5	10.7															53.8		79.6																		
SPK-0125639	CC(C)(N)[C@H](NC(=O)C1=CC=C(C=C1)C#CC#C[C@H]1[C@@H](CO)[C@H]1CO)C(=O)NO	LpxC inhibitors	SPK-0125639-001	1	C000005231			5.3	5.01	5.45	5.625			4.7	20			4.7	20	4.7	20					4.7	20																																					
SPK-0125638	C[C@@H](O)C#CC#CC1=CC=C(C=C1)C(=O)N[C@H](C(=O)NO)C(C)(C)N	LpxC inhibitors	SPK-0125638-001	2	C000005212			5.95	1.094	5.8	1.819			4.6	23.3			4.6	23.3	5.35	4.365					4.75	17.45	5.6	2.45															48.7	52.7																			
SPK-0125637	ONC(=O)C(CC1=CNC2=C1C=CC=C2)NC(=O)C1=CC=C(C=C1)C#CC#CC1CC1	LpxC inhibitors	SPK-0125637-001	1	C000005104			4.4	38.9	4.4	38.9	4.4	38.9	4.4	38.9	4.4	38.9	4.4	38.9	4.4	38.9																																											
SPK-0125636	NC(CC1=CNC2=CC=CC=C12)C(=O)NO	LpxC inhibitors	SPK-0125636-001	1	C000005079			3.5	292	3.5	292	3.5	292	3.5	292	3.5	292	3.5	292	3.5	292																																											
SPK-0125635	CCNC(C)(C)[C@H](NC(=O)C1=CC=C(C=C1)C#CC#C[C@@H]1CC1CO)C(=O)NO	LpxC inhibitors	SPK-0125635-001	1	C000005061			6.4	0.391	6.1	0.8795	5.8	1.59	4.4	40.3	5.4	3.99	5.8	1.59	6.1	0.793																																											
SPK-0125634	CC(C)(N)[C@H](NC(=O)C1=CC=C(C=C1)C#CC#C[C@@H]1C[C@H]2OCO[C@H]2C1)C(=O)NO	LpxC inhibitors	SPK-0125634-001	1	C000005032			6.2	0.608	6.2	0.608	5.45	10.004	4.4	38.9	5.3	4.86	5.3	4.86	5.6	2.43																																											
SPK-0125633	ONC(=O)C(NC(=O)C1=CC=C(C=C1)C#CC#CC1CC1)C12CCCN1CCC2	LpxC inhibitors	SPK-0125633-001	1	C000005025			5.6	2.55	5.9	1.5945	5.45	10.5195	4.4	40.9	4.4	40.9	5.3	5.11	6.2	0.639																																											
SPK-0125632	CC(C)(N)[C@H](NC(=O)C1=CC=C(C=C1)C#CC#CC1CCC(C)(C)O1)C(=O)NO	LpxC inhibitors	SPK-0125632-001	1	C000004994			5.9	1.26	6.2	0.629	5.45	5.68	4.4	40.3	4.7	20.1	5.6	2.52	6.5	0.314																																											
SPK-0125631	CC(C)(N)[C@H](NC(=O)C1=CC=C(C=C1)C#CC#CC1CCC(=O)C1)C(=O)NO	LpxC inhibitors	SPK-0125631-001	1	C000004965			5.9	1.31	5.75	1.965	5.3	11.155	4.4	41.9	4.7	21	5	10.5	5.9	1.31																																											
SPK-0125630	CC(C)(N)[C@H](NC(=O)C1=CC=C(C=C1)C#CC#CC1COCCO1)C(=O)NO	LpxC inhibitors	SPK-0125630-001	1	C000004919			6	0.917	5.75	1.945	5.6	2.59	4.4	41.5	4.4	41.5	5.1	7.34	5.9	1.3					5.3	5.19	6.2	0.649	5.3	5.19	5.3	5.19																															
