compound_id	smiles	series	canonical_postera_id	fragalysis_id	acrylamide	chloroacetamide	mpro_fluorescence_pIC50	mpro_fluorescence_IC50_uM	mpro_rapidfire_pIC50	mpro_rapidfire_IC50_uM	trypsin_IC50_uM	trypsin_mpro_selectivity_ratio
MAT-POS-4223bc15-36	O=C(Nc1cncc2ccccc12)C1CN(C(=O)c2cnco2)Cc2ccc(Cl)cc21	3-aminopyridine-like	MAT-POS-4223bc15-36		False	False	5.97195	1.06671				
MAT-POS-4223bc15-37	Cn1nncc1C(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1	3-aminopyridine-like	MAT-POS-4223bc15-37		False	False	6.40104	0.397156				
MAT-POS-4223bc15-38	O=C(Nc1cncc2ccccc12)C1CN(C(=O)c2ncco2)Cc2ccc(Cl)cc21	3-aminopyridine-like	MAT-POS-4223bc15-38		False	False	6.03706	0.918198				
MAT-POS-4223bc15-39	Cc1nocc1C(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1	3-aminopyridine-like	MAT-POS-4223bc15-39		False	False	6.77551	0.167685				
MAT-POS-4223bc15-40	Cn1nccc1C(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1	3-aminopyridine-like	MAT-POS-4223bc15-40		False	False	6.80779	0.15567				
MAT-POS-4223bc15-41	Cn1cncc1C(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1	3-aminopyridine-like	MAT-POS-4223bc15-41		False	False	6.65018	0.223777				
MAT-POS-e6dd326d-4	CS(=O)(=O)NCC1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21	3-aminopyridine-like	MAT-POS-e6dd326d-4		False	False	5.41208	3.87184				
MAT-POS-e6dd326d-5	CN(C)S(=O)(=O)NCC1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21	3-aminopyridine-like	MAT-POS-e6dd326d-5		False	False	5.56462	2.72508				
MAT-POS-e6dd326d-6	COC(=O)NCC1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21	3-aminopyridine-like	MAT-POS-e6dd326d-6		False	False	6.24204	0.572747				
MAT-POS-e6dd326d-8	C=CC(=O)NCC1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21	3-aminopyridine-like	MAT-POS-e6dd326d-8		True	False	6.05997	0.871021				
MAT-POS-e6dd326d-9	CC(=O)NCC1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21	3-aminopyridine-like	MAT-POS-e6dd326d-9		False	False	5.47562	3.34484				
MAT-POS-e6dd326d-13	CN(C)C(=O)CNCC1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21	3-aminopyridine-like	MAT-POS-e6dd326d-13		False	False	6.21993	0.602654				
MAT-POS-96f51285-1	COc1ccc2cncc(NC(=O)C3(OC)CCOc4ccc(Cl)cc43)c2c1	3-aminopyridine-like	MAT-POS-96f51285-1		False	False	6.92672	0.118381				
MAT-POS-96f51285-2	COC1(C(=O)Nc2cncc3ccc(S(C)(=O)=O)cc23)CCOc2ccc(Cl)cc21	3-aminopyridine-like	MAT-POS-96f51285-2		False	False	6.37214	0.424482				
MAT-POS-96f51285-3	COc1ccc2cncc(NC(=O)C3CCOc4cc(F)c(Cl)cc43)c2c1	3-aminopyridine-like	MAT-POS-96f51285-3		False	False	6.96958	0.107256				
MAT-POS-96f51285-4	CS(=O)(=O)c1ccc2cncc(NC(=O)C3CCOc4cc(F)c(Cl)cc43)c2c1	3-aminopyridine-like	MAT-POS-96f51285-4		False	False	5.80106	1.58101				
MAT-POS-96f51285-5	O=C(Nc1cncc2ccc(F)cc12)C1CCOc2cc(F)c(Cl)cc21	3-aminopyridine-like	MAT-POS-96f51285-5		False	False	6.50285	0.314161				
MAT-POS-96f51285-6	COc1ccc2cncc(NC(=O)C3CCNc4cc(Cl)c(Cl)cc43)c2c1	3-aminopyridine-like	MAT-POS-96f51285-6		False	False	6.88349	0.13077				
RAL-THA-6e4c80cf-1	COC(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1	3-aminopyridine-like	RAL-THA-6e4c80cf-1		False	False	6.65044	0.223647				
RAL-THA-6e4c80cf-2	CCOC(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1	3-aminopyridine-like	RAL-THA-6e4c80cf-2		False	False	6.62622	0.236473				
MAT-POS-45b13633-2	CNCC1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21	3-aminopyridine-like	MAT-POS-45b13633-2		False	False	4.97898	10.4959				
MAT-POS-45b13633-3	CN(C)CC1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21	3-aminopyridine-like	MAT-POS-45b13633-3		False	False	4.93805	11.5331				
KAD-UNI-b13decd3-4	NS(=O)(=O)c1ccc(CNC[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)cc1F	Unassigned	KAD-UNI-b13decd3-4		False	False	4.5642	27.2772				
ALP-POS-9c80c481-1	CNC(=O)COCC1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21	3-aminopyridine-like	ALP-POS-9c80c481-1		False	False	5.73877	1.82485				
ROD-UFR-87309d29-1	O=C(O)CCc1cc2c(cc1S(=O)(=O)N1CCN(c3ccccc3)CC1)OCO2	Unassigned	ROD-UFR-87309d29-1		False	False	4.00218	99.5				
ROD-UFR-7c6582a7-1	CCCc1cc2c(cc1S(=O)(=O)N1CCN(c3ncccn3)CC1)OCO2	Unassigned	ROD-UFR-7c6582a7-1		False	False	4.00218	99.5				
ROD-UFR-0ea09143-1	CCCc1cc2c(cc1S(=O)(=O)N1CCN(c3cccc(Cl)c3Cl)CC1)OCO2	Unassigned	ROD-UFR-0ea09143-1		False	False	4.00218	99.5				
ROD-UFR-d5063330-1	CCCc1cc2c(cc1S(=O)(=O)N1CCN(c3ccccc3OC)CC1)OCO2	Unassigned	ROD-UFR-d5063330-1		False	False	4.00218	99.5				
ROD-UFR-9b69e111-1	Cc1cc2c(cc1S(=O)(=O)N1CCN(c3ccccc3)CC1)OCO2	Unassigned	ROD-UFR-9b69e111-1		False	False	4.00218	99.5				
ROD-UFR-d767f115-1	CNS(=O)(=O)c1cc2c(cc1OCc1ccccc1)OCO2	Unassigned	ROD-UFR-d767f115-1		False	False	4.00218	99.5				
ROD-UFR-86d8d6a3-1	O=S(=O)(Nc1ccccc1)c1cc2c(cc1OCc1ccccc1)OCO2	Unassigned	ROD-UFR-86d8d6a3-1		False	False	4.13757	72.8492				
ROD-UFR-74bef589-1	O=S(=O)(Nc1cc2c(cc1OCc1ccccc1)OCO2)c1ccccc1	Unassigned	ROD-UFR-74bef589-1		False	False	4.00218	99.5				
ROD-UFR-93b30032-1	O=S(=O)(c1cc2c(cc1OCc1ccccc1)OCO2)N1CCOCC1	Unassigned	ROD-UFR-93b30032-1		False	False	4.00218	99.5				
PET-UNK-6314f867-2	N#Cc1ccc2c(NC(=O)Cc3cccc(Cl)c3)cncc2c1	3-aminopyridine-like	PET-UNK-6314f867-2		False	False	5.04591	8.99674				
KAD-UNI-cb0f2bbc-23	CNS(=O)(=O)c1cc(CNC[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)ccc1F	Unassigned	KAD-UNI-cb0f2bbc-23		False	False	4.4442	35.9582				
MAT-POS-993cdc78-1	CO[C@]1(C(=O)Nc2cncc3ccccc23)CCOc2cc(F)c(Cl)cc21	3-aminopyridine-like	MAT-POS-993cdc78-1		False	False	6.90484	0.124498				
MAT-POS-993cdc78-2	CO[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2cc(F)c(Cl)cc21	3-aminopyridine-like	MAT-POS-993cdc78-2		False	False	4.15956	69.2532				
RAL-THA-58fba2bc-1	O=C(O)CC1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21	3-aminopyridine-like	RAL-THA-58fba2bc-1		False	False	4.50309	31.3987				
ALP-POS-d9b6304e-1	CC(C)(C)c1ccc(N(C(=O)c2cocn2)C(C(=O)NCCc2cccc(F)c2)c2cc(=O)[nH]c3ccccc23)cc1	Unassigned	ALP-POS-d9b6304e-1		False	False	5.93465	1.1624				
MAT-POS-3ccb8ef6-1	O=C(Nc1cncc2ccccc12)[C@@H]1CNCc2ccc(Cl)cc21	3-aminopyridine-like	MAT-POS-3ccb8ef6-1		False	False	6.54041	0.288128				
MAT-POS-3ccb8ef6-2	O=C(Nc1cncc2ccccc12)[C@H]1CNCc2ccc(Cl)cc21	3-aminopyridine-like	MAT-POS-3ccb8ef6-2		False	False	4.48188	32.9704				
MAT-POS-5369c344-5	O=C(Nc1cncc2ccccc12)C1CCOc2c(OCc3ccccn3)cc(Cl)cc21	3-aminopyridine-like	MAT-POS-5369c344-5		False	False	5.1918	6.42983				
MAT-POS-5369c344-6	O=C(Nc1cncc2ccccc12)C1CCOc2c(OCc3cccnc3)cc(Cl)cc21	3-aminopyridine-like	MAT-POS-5369c344-6		False	False	4.60311	24.9397				
MAT-POS-5369c344-7	O=C(Nc1cncc2ccccc12)C1CCOc2c(OCc3ccncc3)cc(Cl)cc21	3-aminopyridine-like	MAT-POS-5369c344-7		False	False	5.46162	3.45444				
RUB-POS-1325a9ea-4	Cc1ccc2cncc(NC(=O)Cc3cccc(Cl)c3)c2c1	3-aminopyridine-like	RUB-POS-1325a9ea-4		False	False	6.26996	0.537082				
RUB-POS-1325a9ea-5	Cc1cccc2c(NC(=O)Cc3cccc(Cl)c3)cncc12	3-aminopyridine-like	RUB-POS-1325a9ea-5		False	False	4.00218	99.5				
RUB-POS-1325a9ea-7	O=C(Cc1cccc(Cl)c1)NC1C(=O)NCc2ccccc21	Ugi	RUB-POS-1325a9ea-7		False	False	4.00218	99.5				
RUB-POS-1325a9ea-12	O=C(Cc1cccc(Cl)c1)Nc1cncc2cn[nH]c12	3-aminopyridine-like	RUB-POS-1325a9ea-12		False	False	5.67704	2.10357				
RUB-POS-1325a9ea-13	O=C(Cc1cccc(Cl)c1)Nc1cncc2[nH]ncc12	3-aminopyridine-like	RUB-POS-1325a9ea-13		False	False	4.66123	21.8158				
RUB-POS-1325a9ea-14	Cn1ncc2cncc(NC(=O)Cc3cccc(Cl)c3)c21	3-aminopyridine-like	RUB-POS-1325a9ea-14		False	False	5.82506	1.49602				
RUB-POS-1325a9ea-15	Cn1ncc2c(NC(=O)Cc3cccc(Cl)c3)cncc21	3-aminopyridine-like	RUB-POS-1325a9ea-15		False	False	4.46799	34.042				
RUB-POS-1325a9ea-20	O=C(Cc1cccc(Cl)c1)NC1COCc2ccccc21	3-aminopyridine-like	RUB-POS-1325a9ea-20		False	False	4.16145	68.952				
RUB-POS-1325a9ea-21	O=C(Cc1cccc(Cl)c1)NC1CS(=O)(=O)Cc2ccccc21	3-aminopyridine-like	RUB-POS-1325a9ea-21		False	False	4.00218	99.5				
RUB-POS-1325a9ea-22	O=C(Cc1cccc(Cl)c1)NC1=NC(=O)c2ccccc21	3-aminopyridine-like	RUB-POS-1325a9ea-22		False	False	4.00218	99.5				
RUB-POS-1325a9ea-24	CC1(C)Nc2ccccc2C1NC(=O)Cc1cccc(Cl)c1	3-aminopyridine-like	RUB-POS-1325a9ea-24		False	False	4.00218	99.5				
JIN-POS-6dc588a4-2	O=C(Cc1cccc(Cl)c1)Nc1noc2ncccc12	3-aminopyridine-like	JIN-POS-6dc588a4-2		False	False	4.00218	99.5				
JIN-POS-6dc588a4-3	COc1ccncc1NC(=O)Cc1cccc(Cl)c1	3-aminopyridine-like	JIN-POS-6dc588a4-3		False	False	4.66652	21.5516				
JIN-POS-6dc588a4-5	O=C(Cc1cccc(Cl)c1)Nc1c[nH]c2ccccc12	3-aminopyridine-like	JIN-POS-6dc588a4-5		False	False	4.00218	99.5				
JIN-POS-6dc588a4-6	CC(C)(C)Oc1ccncc1NC(=O)Cc1cccc(Cl)c1	3-aminopyridine-like	JIN-POS-6dc588a4-6		False	False	4.63974	22.9227				
JIN-POS-6dc588a4-7	O=C(Cc1cccc(Cl)c1)Nc1ncnc2ccccc12	3-aminopyridine-like	JIN-POS-6dc588a4-7		False	False	4.00218	99.5				
JIN-POS-6dc588a4-8	O=C(Cc1cccc(Cl)c1)Nc1noc2ccccc12	3-aminopyridine-like	JIN-POS-6dc588a4-8		False	False	4.00218	99.5				
JIN-POS-6dc588a4-9	O=C(Cc1cccc(Cl)c1)Nc1cnn2ccccc12	3-aminopyridine-like	JIN-POS-6dc588a4-9		False	False	4.94516	11.346				
JIN-POS-6dc588a4-10	O=C(Cc1cccc(Cl)c1)Nc1cncc2nccnc12	3-aminopyridine-like	JIN-POS-6dc588a4-10		False	False	4.11895	76.0415				
JIN-POS-6dc588a4-11	O=C(Cc1cccc(Cl)c1)Nc1cncc2cc(F)ccc12	3-aminopyridine-like	JIN-POS-6dc588a4-11		False	False	5.83346	1.46738				
JIN-POS-6dc588a4-12	O=C(Cc1cccc(Cl)c1)Nc1cncc2[nH]ccc12	3-aminopyridine-like	JIN-POS-6dc588a4-12		False	False	5.20837	6.18908				
